width,dataset,partition,method,alpha,n,rmse,mae,finite,coef_date,coef_state
45,random_private_like,random1,state,-0.007391619385070022,2644,0.06653524243889913,0.043371120571970644,2644,,
45,random_private_like,random1,joint,0.04302751219097812,2644,0.06642108578806241,0.043300799584914104,2393,0.04051925861939134,-0.014476065980771549
45,random_private_like,random2,date,0.042256923607234195,2644,0.06811054644623445,0.04073330213483294,2403,,
45,random_private_like,random2,crop,0.0824710483312175,2644,0.06797311565135751,0.040547803854179554,1926,,
45,random_private_like,random2,state,-0.01912512103013121,2644,0.0682105280167877,0.04084731488619706,2644,,
45,random_private_like,random2,joint,0.05159872814713367,2644,0.06810264610493566,0.04074680316368073,2403,0.04441096837619279,-0.02626965234430422
45,exact_hidden_doy,exact2019,date,0.07435243310578632,249,0.057127940769535576,0.03943488366871367,244,,
45,exact_hidden_doy,exact2019,crop,0.09754659538740308,249,0.057012465300043176,0.03926433128431971,226,,
45,exact_hidden_doy,exact2019,state,0.059061807799781804,249,0.05716660123233408,0.039395865630060076,249,,
45,exact_hidden_doy,exact2019,joint,0.07659480757042313,249,0.05717467971002941,0.0394360996157509,244,0.06497348945562784,0.040561190992247344
45,exact_hidden_doy,exact2020,date,0.0503570247090826,222,0.055016929367658396,0.03747423992189923,219,,
45,exact_hidden_doy,exact2020,crop,0.07316064513069664,222,0.05476560666173072,0.03730689515983619,201,,
45,exact_hidden_doy,exact2020,state,0.02919256865030946,222,0.05517014421932163,0.037554511635743436,222,,
45,exact_hidden_doy,exact2020,joint,0.04706322816166991,222,0.05498552736270186,0.037455328614343954,219,0.04579431229622847,0.01085487937809067
45,exact_hidden_doy,exact2021,date,0.04845748416227685,130,0.07685125259764501,0.0563979013077775,126,,
45,exact_hidden_doy,exact2021,crop,0.06479979051680193,130,0.07635199662388996,0.05597673148872237,121,,
45,exact_hidden_doy,exact2021,state,0.06223601224952714,130,0.0773813219758346,0.05728424442485528,130,,
45,exact_hidden_doy,exact2021,joint,0.057598373168229106,130,0.07704685154224243,0.056787802929264934,126,0.035607338933929374,0.04527350224657744
45,exact_hidden_doy,exact2022,date,0.07741595399442701,192,0.0668415542467431,0.04752754324583005,189,,
45,exact_hidden_doy,exact2022,crop,0.08542339672298478,192,0.06645418067131285,0.04737113104947338,185,,
45,exact_hidden_doy,exact2022,state,0.04785326255194336,192,0.06654948716838867,0.047639771167720425,192,,
45,exact_hidden_doy,exact2022,joint,0.07260651744047682,192,0.06678701948523992,0.047530739402278865,189,0.06991114645586127,0.019599438156778354
45,exact_hidden_doy,exact2023,date,0.06218134242136884,169,0.07080575729170925,0.04492581565745198,169,,
45,exact_hidden_doy,exact2023,crop,0.0974986467300586,169,0.07127872977015204,0.04529540573601262,155,,
45,exact_hidden_doy,exact2023,state,0.05095146435843825,169,0.07084208361132562,0.04516953794812181,169,,
45,exact_hidden_doy,exact2023,joint,0.060140787393407995,169,0.07079175939049909,0.04497940860046238,169,0.05374834148189118,0.02698203284122822
45,exact_hidden_doy,exact2024,date,0.0642764910509481,152,0.05113244277293643,0.035406666351130614,152,,
45,exact_hidden_doy,exact2024,crop,0.08753158670657399,152,0.051117665548578696,0.03541263531722298,140,,
45,exact_hidden_doy,exact2024,state,0.0489453998032968,152,0.05109462339794133,0.03533580232090065,152,,
45,exact_hidden_doy,exact2024,joint,0.06252286098054634,152,0.05110661103162549,0.0352970151141894,152,0.05657784124955372,0.02660932213967544
