route,policy,slice,n,rmse,rmse_base
soft_all_r1_l0_p4,fixed040,source_modis,1818,0.0634922827,0.0651471604
soft_all_r1_l0_p4,fixed045,all,10576,0.0669485371,0.0680787938
soft_all_r1_l0_p4,fixed045,near,6890,0.0647445080,0.0662006592
soft_all_r1_l0_p4,fixed045,mid,1711,0.0717868899,0.0729940242
soft_all_r1_l0_p4,fixed045,far,1975,0.0700940028,0.0700986011
soft_all_r1_l0_p4,fixed045,history,7552,0.0673903464,0.0684564515
soft_all_r1_l0_p4,fixed045,2025,3024,0.0658322352,0.0671263704
soft_all_r1_l0_p4,fixed045,new,9068,0.0692888902,0.0704712639
soft_all_r1_l0_p4,fixed045,shared,1508,0.0506440105,0.0513951813
soft_all_r1_l0_p4,fixed045,new2025,1516,0.0780616111,0.0797533421
soft_all_r1_l0_p4,fixed045,shared2025,1508,0.0506440105,0.0513951813
soft_all_r1_l0_p4,fixed045,new2025_near,1408,0.0770246404,0.0789108893
soft_all_r1_l0_p4,fixed045,new2025_far,18,0.0913328398,0.0931731510
