route,features,group,model,cap,runs,n,rmse,baseline_rmse,delta_rmse,improved_runs
history,candidate,group_aoi,ridge100,0.02,9.0,3578.0,0.06429670179602244,0.0645102009382529,-0.00021349914223045552,7.0
history,candidate,group_aoi,ridge100,0.03,9.0,3578.0,0.06429670179602244,0.0645102009382529,-0.00021349914223045552,7.0
history,candidate,group_aoi,ridge100,0.04,9.0,3578.0,0.06429670179602244,0.0645102009382529,-0.00021349914223045552,7.0
history,candidate,group_aoi,ridge100,0.06,9.0,3578.0,0.06429670179602244,0.0645102009382529,-0.00021349914223045552,7.0
history,candidate,group_aoi,ridge30,0.01,9.0,3578.0,0.06406002673070896,0.0645102009382529,-0.000450174207543938,9.0
history,candidate,group_aoi,ridge30,0.02,9.0,3578.0,0.06405449804478883,0.0645102009382529,-0.0004557028934640689,9.0
history,candidate,group_aoi,ridge30,0.03,9.0,3578.0,0.06404980933732471,0.0645102009382529,-0.00046039160092818665,9.0
history,candidate,group_aoi,ridge30,0.04,9.0,3578.0,0.06404980933732471,0.0645102009382529,-0.00046039160092818665,9.0
history,candidate,group_aoi,ridge30,0.06,9.0,3578.0,0.06404980933732471,0.0645102009382529,-0.00046039160092818665,9.0
history,candidate,group_aoiyear,hgb8,0.01,9.0,3345.0,0.06174083074087897,0.06170038982471902,4.044091615995615e-05,4.0
history,candidate,group_aoiyear,hgb8,0.02,9.0,3345.0,0.06190950690029702,0.06170038982471902,0.0002091170755780039,3.0
history,candidate,group_aoiyear,hgb8,0.03,9.0,3345.0,0.06195671433109302,0.06170038982471902,0.0002563245063740005,3.0
history,candidate,group_aoiyear,hgb8,0.04,9.0,3345.0,0.06195750959056578,0.06170038982471902,0.0002571197658467611,2.0
history,candidate,group_aoiyear,hgb8,0.06,9.0,3345.0,0.06195674487387134,0.06170038982471902,0.0002563550491523209,2.0
history,candidate,group_aoiyear,ridge100,0.01,9.0,3345.0,0.061527818728803856,0.06170038982471902,-0.00017257109591516107,7.0
history,candidate,group_aoiyear,ridge100,0.02,9.0,3345.0,0.061537048560760144,0.06170038982471902,-0.000163341263958873,7.0
history,candidate,group_aoiyear,ridge100,0.03,9.0,3345.0,0.061537048560760144,0.06170038982471902,-0.000163341263958873,7.0
history,candidate,group_aoiyear,ridge100,0.04,9.0,3345.0,0.061537048560760144,0.06170038982471902,-0.000163341263958873,7.0
history,candidate,group_aoiyear,ridge100,0.06,9.0,3345.0,0.061537048560760144,0.06170038982471902,-0.000163341263958873,7.0
history,candidate,group_aoiyear,ridge30,0.01,9.0,3345.0,0.06135020480162927,0.06170038982471902,-0.00035018502308974825,9.0
history,candidate,group_aoiyear,ridge30,0.02,9.0,3345.0,0.06135108077144883,0.06170038982471902,-0.0003493090532701859,9.0
history,candidate,group_aoiyear,ridge30,0.03,9.0,3345.0,0.06133150836961969,0.06170038982471902,-0.00036888145509932774,9.0
history,candidate,group_aoiyear,ridge30,0.04,9.0,3345.0,0.06133148908891516,0.06170038982471902,-0.00036890073580385374,9.0
history,candidate,group_aoiyear,ridge30,0.06,9.0,3345.0,0.06133148908891516,0.06170038982471902,-0.00036890073580385374,9.0
history,compact,group_aoi,hgb8,0.01,9.0,3578.0,0.06425958355090454,0.0645102009382529,-0.00025061738734835637,8.0
history,compact,group_aoi,hgb8,0.02,9.0,3578.0,0.06426782991625372,0.0645102009382529,-0.0002423710219991715,8.0
history,compact,group_aoi,hgb8,0.03,9.0,3578.0,0.06428931407328253,0.0645102009382529,-0.0002208868649703627,7.0
history,compact,group_aoi,hgb8,0.04,9.0,3578.0,0.06429970654781152,0.0645102009382529,-0.0002104943904413792,7.0
history,compact,group_aoi,hgb8,0.06,9.0,3578.0,0.06429952571391935,0.0645102009382529,-0.00021067522433354524,7.0
history,compact,group_aoi,ridge100,0.01,9.0,3578.0,0.06406065191563287,0.0645102009382529,-0.0004495490226200244,9.0
history,compact,group_aoi,ridge100,0.02,9.0,3578.0,0.0640531412824696,0.0645102009382529,-0.00045705965578329844,9.0
history,compact,group_aoi,ridge100,0.03,9.0,3578.0,0.06413717622888807,0.0645102009382529,-0.00037302470936483034,6.0
history,compact,group_aoi,ridge100,0.04,9.0,3578.0,0.06417120688138177,0.0645102009382529,-0.00033899405687112805,6.0
history,compact,group_aoi,ridge100,0.06,9.0,3578.0,0.06416646804066005,0.0645102009382529,-0.00034373289759284664,6.0
history,compact,group_aoi,ridge30,0.01,9.0,3578.0,0.06396512355993089,0.0645102009382529,-0.0005450773783220036,9.0
history,compact,group_aoi,ridge30,0.02,9.0,3578.0,0.06392158616217569,0.0645102009382529,-0.0005886147760772037,9.0
history,compact,group_aoi,ridge30,0.03,9.0,3578.0,0.06398298135169744,0.0645102009382529,-0.0005272195865554524,7.0
