width,radius,source_profile,agg,mode,n,rmse_pooled,base_rmse_pooled,delta_pooled,wins,coverage
16,32,True,inv2,loo,10576.0000000000,0.0658465156,0.0666343245,-0.0007878089,4.0000000000,0.9948940998
20,8,False,exp,loo,10576.0000000000,0.0658472709,0.0666343245,-0.0007870536,4.0000000000,0.9922465961
8,8,False,mean,loo,10576.0000000000,0.0658475716,0.0666343245,-0.0007867529,4.0000000000,0.9922465961
32,16,False,inv2,loo,10576.0000000000,0.0658481276,0.0666343245,-0.0007861968,4.0000000000,0.9932866868
32,8,False,inv1,fixed020,10576.0000000000,0.0658484122,0.0666343245,-0.0007859122,4.0000000000,0.9922465961
16,2,False,exp,loo,10576.0000000000,0.0658488713,0.0666343245,-0.0007854531,4.0000000000,0.9712556732
32,16,False,inv1,loo,10576.0000000000,0.0658488909,0.0666343245,-0.0007854336,4.0000000000,0.9932866868
8,4,False,inv2,loo,10576.0000000000,0.0658496808,0.0666343245,-0.0007846437,4.0000000000,0.9895990923
8,8,False,inv1,fixed020,10576.0000000000,0.0658500381,0.0666343245,-0.0007842864,4.0000000000,0.9922465961
32,8,False,inv2,loo,10576.0000000000,0.0658500714,0.0666343245,-0.0007842530,4.0000000000,0.9922465961
32,32,False,inv1,loo,10576.0000000000,0.0658528328,0.0666343245,-0.0007814916,4.0000000000,0.9948940998
16,32,False,mean,loo,10576.0000000000,0.0658529106,0.0666343245,-0.0007814139,4.0000000000,0.9948940998
20,16,False,inv1,fixed020,10576.0000000000,0.0658535894,0.0666343245,-0.0007807351,4.0000000000,0.9932866868
16,2,False,mean,fixed020,10576.0000000000,0.0658536295,0.0666343245,-0.0007806950,4.0000000000,0.9712556732
8,8,False,exp,fixed020,10576.0000000000,0.0658545298,0.0666343245,-0.0007797946,4.0000000000,0.9922465961
24,4,False,inv2,fixed020,10576.0000000000,0.0658546077,0.0666343245,-0.0007797168,4.0000000000,0.9895990923
20,4,False,median,fixed020,10576.0000000000,0.0658546796,0.0666343245,-0.0007796449,4.0000000000,0.9895990923
8,8,False,inv2,fixed020,10576.0000000000,0.0658592350,0.0666343245,-0.0007750894,4.0000000000,0.9922465961
8,16,False,inv2,fixed020,10576.0000000000,0.0658596451,0.0666343245,-0.0007746793,4.0000000000,0.9932866868
32,32,False,inv2,loo,10576.0000000000,0.0658600519,0.0666343245,-0.0007742726,4.0000000000,0.9948940998
20,16,False,exp,loo,10576.0000000000,0.0658612811,0.0666343245,-0.0007730434,4.0000000000,0.9932866868
32,16,False,exp,fixed020,10576.0000000000,0.0658615613,0.0666343245,-0.0007727632,4.0000000000,0.9932866868
20,8,False,inv1,loo,10576.0000000000,0.0658631283,0.0666343245,-0.0007711962,4.0000000000,0.9922465961
20,4,False,median,loo,10576.0000000000,0.0658631568,0.0666343245,-0.0007711676,4.0000000000,0.9895990923
8,4,False,inv2,fixed020,10576.0000000000,0.0658638836,0.0666343245,-0.0007704409,4.0000000000,0.9895990923
32,32,False,exp,loo,10576.0000000000,0.0658650478,0.0666343245,-0.0007692766,4.0000000000,0.9948940998
8,16,False,inv1,fixed020,10576.0000000000,0.0658662867,0.0666343245,-0.0007680378,4.0000000000,0.9932866868
16,2,False,mean,loo,10576.0000000000,0.0658666386,0.0666343245,-0.0007676858,4.0000000000,0.9712556732
8,32,False,inv2,fixed020,10576.0000000000,0.0658667870,0.0666343245,-0.0007675375,4.0000000000,0.9948940998
12,8,True,inv1,loo,10576.0000000000,0.0658677548,0.0666343245,-0.0007665697,4.0000000000,0.9922465961
32,32,False,inv1,fixed020,10576.0000000000,0.0658677856,0.0666343245,-0.0007665389,4.0000000000,0.9948940998
8,16,False,exp,fixed020,10576.0000000000,0.0658690896,0.0666343245,-0.0007652349,4.0000000000,0.9932866868
32,16,False,inv1,fixed020,10576.0000000000,0.0658691400,0.0666343245,-0.0007651844,4.0000000000,0.9932866868
16,16,True,mean,loo,10576.0000000000,0.0658705572,0.0666343245,-0.0007637672,4.0000000000,0.9932866868
24,16,False,mean,fixed020,10576.0000000000,0.0658746791,0.0666343245,-0.0007596453,4.0000000000,0.9932866868
12,4,True,inv1,loo,10576.0000000000,0.0658748419,0.0666343245,-0.0007594826,4.0000000000,0.9895990923
8,32,False,exp,fixed020,10576.0000000000,0.0658765988,0.0666343245,-0.0007577257,4.0000000000,0.9948940998
8,32,False,inv1,fixed020,10576.0000000000,0.0658768035,0.0666343245,-0.0007575210,4.0000000000,0.9948940998
20,16,False,inv1,loo,10576.0000000000,0.0658777096,0.0666343245,-0.0007566148,4.0000000000,0.9932866868
20,32,False,exp,fixed020,10576.0000000000,0.0658785474,0.0666343245,-0.0007557771,4.0000000000,0.9948940998
24,16,False,mean,loo,10576.0000000000,0.0658798549,0.0666343245,-0.0007544696,4.0000000000,0.9932866868
12,8,True,exp,loo,10576.0000000000,0.0658807125,0.0666343245,-0.0007536120,4.0000000000,0.9922465961
16,2,True,median,loo,10576.0000000000,0.0658809904,0.0666343245,-0.0007533340,4.0000000000,0.9712556732
16,32,False,mean,fixed020,10576.0000000000,0.0658822961,0.0666343245,-0.0007520284,4.0000000000,0.9948940998
32,32,False,exp,fixed020,10576.0000000000,0.0658828666,0.0666343245,-0.0007514579,4.0000000000,0.9948940998
16,4,True,inv1,fixed020,10576.0000000000,0.0658833101,0.0666343245,-0.0007510144,4.0000000000,0.9895990923
12,4,True,exp,loo,10576.0000000000,0.0658835137,0.0666343245,-0.0007508108,4.0000000000,0.9895990923
20,32,False,inv1,fixed020,10576.0000000000,0.0658843409,0.0666343245,-0.0007499836,4.0000000000,0.9948940998
16,2,True,inv1,loo,10576.0000000000,0.0658844468,0.0666343245,-0.0007498777,4.0000000000,0.9712556732
12,16,True,inv1,loo,10576.0000000000,0.0658862464,0.0666343245,-0.0007480780,4.0000000000,0.9932866868
16,4,True,exp,fixed020,10576.0000000000,0.0658913595,0.0666343245,-0.0007429650,4.0000000000,0.9895990923
16,2,True,exp,loo,10576.0000000000,0.0658918870,0.0666343245,-0.0007424374,4.0000000000,0.9712556732
12,4,True,mean,loo,10576.0000000000,0.0658948847,0.0666343245,-0.0007394397,4.0000000000,0.9895990923
12,16,True,exp,loo,10576.0000000000,0.0658957279,0.0666343245,-0.0007385966,4.0000000000,0.9932866868
16,2,False,median,fixed020,10576.0000000000,0.0658966647,0.0666343245,-0.0007376598,4.0000000000,0.9712556732
16,8,True,inv1,fixed020,10576.0000000000,0.0658970251,0.0666343245,-0.0007372994,4.0000000000,0.9922465961
32,2,False,inv1,loo,10576.0000000000,0.0658971743,0.0666343245,-0.0007371501,4.0000000000,0.9712556732
20,8,False,mean,fixed020,10576.0000000000,0.0658987466,0.0666343245,-0.0007355778,4.0000000000,0.9922465961
16,8,True,inv2,fixed020,10576.0000000000,0.0658998695,0.0666343245,-0.0007344550,4.0000000000,0.9922465961
20,32,False,exp,loo,10576.0000000000,0.0659002401,0.0666343245,-0.0007340843,4.0000000000,0.9948940998
16,4,True,mean,fixed020,10576.0000000000,0.0659003149,0.0666343245,-0.0007340095,4.0000000000,0.9895990923
16,4,True,inv2,fixed020,10576.0000000000,0.0659006396,0.0666343245,-0.0007336848,4.0000000000,0.9895990923
32,2,False,exp,loo,10576.0000000000,0.0659008180,0.0666343245,-0.0007335065,4.0000000000,0.9712556732
16,8,True,median,loo,10576.0000000000,0.0659035317,0.0666343245,-0.0007307928,4.0000000000,0.9922465961
24,4,False,median,loo,10576.0000000000,0.0659048312,0.0666343245,-0.0007294932,4.0000000000,0.9895990923
16,2,True,inv2,loo,10576.0000000000,0.0659060987,0.0666343245,-0.0007282258,4.0000000000,0.9712556732
20,8,False,mean,loo,10576.0000000000,0.0659062886,0.0666343245,-0.0007280358,4.0000000000,0.9922465961
16,2,True,mean,loo,10576.0000000000,0.0659064740,0.0666343245,-0.0007278504,4.0000000000,0.9712556732
16,8,True,exp,fixed020,10576.0000000000,0.0659070781,0.0666343245,-0.0007272464,4.0000000000,0.9922465961
16,16,True,inv2,fixed020,10576.0000000000,0.0659087384,0.0666343245,-0.0007255861,4.0000000000,0.9932866868
12,8,True,inv2,loo,10576.0000000000,0.0659087498,0.0666343245,-0.0007255746,4.0000000000,0.9922465961
12,16,True,inv2,loo,10576.0000000000,0.0659098992,0.0666343245,-0.0007244253,4.0000000000,0.9932866868
20,32,False,inv1,loo,10576.0000000000,0.0659104958,0.0666343245,-0.0007238287,4.0000000000,0.9948940998
8,8,False,mean,fixed020,10576.0000000000,0.0659107810,0.0666343245,-0.0007235434,4.0000000000,0.9922465961
8,16,False,mean,loo,10576.0000000000,0.0659112402,0.0666343245,-0.0007230843,4.0000000000,0.9932866868
16,2,False,median,loo,10576.0000000000,0.0659115945,0.0666343245,-0.0007227300,4.0000000000,0.9712556732
32,2,False,mean,loo,10576.0000000000,0.0659117674,0.0666343245,-0.0007225570,4.0000000000,0.9712556732
24,4,False,median,fixed020,10576.0000000000,0.0659160591,0.0666343245,-0.0007182654,4.0000000000,0.9895990923
20,16,False,inv2,fixed020,10576.0000000000,0.0659168648,0.0666343245,-0.0007174597,4.0000000000,0.9932866868
32,2,False,inv2,loo,10576.0000000000,0.0659193179,0.0666343245,-0.0007150066,4.0000000000,0.9712556732
32,8,False,mean,loo,10576.0000000000,0.0659206171,0.0666343245,-0.0007137073,4.0000000000,0.9922465961
32,4,False,median,loo,10576.0000000000,0.0659215145,0.0666343245,-0.0007128100,4.0000000000,0.9895990923
20,16,False,inv2,loo,10576.0000000000,0.0659241420,0.0666343245,-0.0007101825,4.0000000000,0.9932866868
20,8,False,inv2,fixed020,10576.0000000000,0.0659270586,0.0666343245,-0.0007072658,4.0000000000,0.9922465961
20,4,False,inv2,loo,10576.0000000000,0.0659287514,0.0666343245,-0.0007055730,4.0000000000,0.9895990923
12,4,True,inv2,loo,10576.0000000000,0.0659287841,0.0666343245,-0.0007055404,4.0000000000,0.9895990923
20,8,False,inv2,loo,10576.0000000000,0.0659299854,0.0666343245,-0.0007043390,4.0000000000,0.9922465961
16,16,True,inv1,fixed020,10576.0000000000,0.0659307228,0.0666343245,-0.0007036016,4.0000000000,0.9932866868
32,16,False,inv2,fixed020,10576.0000000000,0.0659316669,0.0666343245,-0.0007026576,4.0000000000,0.9932866868
20,4,False,inv2,fixed020,10576.0000000000,0.0659316836,0.0666343245,-0.0007026408,4.0000000000,0.9895990923
16,16,False,median,loo,10576.0000000000,0.0659326210,0.0666343245,-0.0007017035,4.0000000000,0.9932866868
16,16,True,exp,fixed020,10576.0000000000,0.0659328232,0.0666343245,-0.0007015013,4.0000000000,0.9932866868
12,16,False,mean,loo,10576.0000000000,0.0659348857,0.0666343245,-0.0006994388,4.0000000000,0.9932866868
16,32,True,inv2,fixed020,10576.0000000000,0.0659404428,0.0666343245,-0.0006938816,4.0000000000,0.9948940998
32,8,False,inv2,fixed020,10576.0000000000,0.0659417725,0.0666343245,-0.0006925519,4.0000000000,0.9922465961
12,32,True,inv1,loo,10576.0000000000,0.0659432545,0.0666343245,-0.0006910700,4.0000000000,0.9948940998
