year,method,alpha,threshold,n,rmse
2024,mod12,0.75,-1.0,152,0.06164518978425855
2024,mod12,1.0,-1.0,152,0.06294187903564405
2024,mod12,1.0,0.5,152,0.062196160125262634
2024,mod12,1.0,0.6,152,0.05959159972219804
2024,mod12,1.0,0.7,152,0.05959159972219804
2024,mod12,1.0,0.8,152,0.05959159972219804
2024,mod12,1.0,0.9,152,0.05928946011872293
2024,mod16,0.1,-1.0,152,0.059439264961027145
2024,mod16,0.2,-1.0,152,0.05969246681082384
2024,mod16,0.3,-1.0,152,0.05999084567227722
2024,mod16,0.5,-1.0,152,0.060720369666867294
2024,mod16,0.75,-1.0,152,0.061872773116077404
2024,mod16,1.0,-1.0,152,0.06327861436961477
2024,mod16,1.0,0.5,152,0.06262950219366273
2024,mod16,1.0,0.6,152,0.059762760928756334
2024,mod16,1.0,0.7,152,0.059762760928756334
2024,mod16,1.0,0.8,152,0.059762760928756334
2024,mod16,1.0,0.9,152,0.05919469655509834
