family,dataset,partition,method,n,rmse,mae,eligible_for_core_meta,note
shock_state,exact_hidden_doy,exact2019,joint_cf,249,0.056895197,0.039133451,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2020,baseline,222,0.055310928,0.037629656,True,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2020,shock_cf,222,0.055261261,0.037528515,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2020,state_cf,222,0.055448711,0.037623990,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2020,joint_cf,222,0.055251115,0.037486799,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2021,baseline,130,0.077222748,0.056872824,True,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2021,shock_cf,130,0.077051999,0.056726230,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2021,state_cf,130,0.077254279,0.056838920,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2021,joint_cf,130,0.077033419,0.056722244,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2022,baseline,192,0.066598087,0.047668607,True,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2022,shock_cf,192,0.066770995,0.047800210,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2022,state_cf,192,0.066913897,0.047995743,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2022,joint_cf,192,0.066880130,0.047887565,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2023,baseline,169,0.070857216,0.045073108,True,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2023,shock_cf,169,0.071006438,0.045156390,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2023,state_cf,169,0.071237248,0.045312706,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2023,joint_cf,169,0.070992649,0.045144588,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2024,baseline,152,0.051154478,0.035562736,True,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2024,shock_cf,152,0.051385685,0.035792162,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2024,state_cf,152,0.051148152,0.035546150,False,raw observable shock/state audited separately
shock_state,exact_hidden_doy,exact2024,joint_cf,152,0.051368281,0.035731672,False,raw observable shock/state audited separately
shock_state,random_private_like,random0,baseline,2644,0.073409327,0.043469915,True,raw observable shock/state audited separately
shock_state,random_private_like,random0,shock_cf,2644,0.073296087,0.043315842,False,raw observable shock/state audited separately
shock_state,random_private_like,random0,state_cf,2644,0.073304655,0.043363098,False,raw observable shock/state audited separately
shock_state,random_private_like,random0,joint_cf,2644,0.073194282,0.043199303,False,raw observable shock/state audited separately
shock_state,random_private_like,random1,baseline,2644,0.066541059,0.043364775,True,raw observable shock/state audited separately
shock_state,random_private_like,random1,shock_cf,2644,0.066254224,0.043080449,False,raw observable shock/state audited separately
shock_state,random_private_like,random1,state_cf,2644,0.066516172,0.043229192,False,raw observable shock/state audited separately
shock_state,random_private_like,random1,joint_cf,2644,0.066215141,0.042978892,False,raw observable shock/state audited separately
shock_state,random_private_like,random2,baseline,2644,0.068212086,0.040835018,True,raw observable shock/state audited separately
shock_state,random_private_like,random2,shock_cf,2644,0.067955978,0.040572213,False,raw observable shock/state audited separately
shock_state,random_private_like,random2,state_cf,2644,0.068155135,0.040733057,False,raw observable shock/state audited separately
shock_state,random_private_like,random2,joint_cf,2644,0.067902562,0.040480290,False,raw observable shock/state audited separately
overnight_corrections,exact_hidden_doy,exact2019,safe_loo_date_w10,249,0.064945492,0.047028211,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2019,safe_loo_date_w20,249,0.064861083,0.046898482,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2019,safe_loo_crop_doy_w10,249,0.064952590,0.047060685,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2019,safe_loo_crop_doy_w20,249,0.064874133,0.046969582,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2019,safe_loo_doy_w10,249,0.064943012,0.047110086,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2019,safe_loo_doy_w20,249,0.064852690,0.047065410,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2019,safe_pca_rank1_b0.5,249,0.064434062,0.046665933,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2019,safe_pca_rank1_b1.0,249,0.065483002,0.047984440,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2019,safe_pca_rank2_b0.5,249,0.064492787,0.046167546,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2019,safe_pca_rank2_b1.0,249,0.065539600,0.047547215,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2020,safe_loo_date_w10,222,0.064183283,0.046669644,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2020,safe_loo_date_w20,222,0.064095446,0.046562537,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2020,safe_loo_crop_doy_w10,222,0.064048568,0.046655537,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2020,safe_loo_crop_doy_w20,222,0.063840981,0.046557067,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2020,safe_loo_doy_w10,222,0.064161945,0.046696200,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2020,safe_loo_doy_w20,222,0.064061281,0.046612428,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2020,safe_pca_rank1_b0.5,222,0.062106223,0.043649442,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2020,safe_pca_rank1_b1.0,222,0.062950473,0.043412119,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2020,safe_pca_rank2_b0.5,222,0.062082969,0.043620074,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2020,safe_pca_rank2_b1.0,222,0.062981922,0.043374339,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2021,safe_loo_date_w10,130,0.089805980,0.066833391,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2021,safe_loo_date_w20,130,0.089365652,0.066535288,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2021,safe_loo_crop_doy_w10,130,0.090046787,0.066971904,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2021,safe_loo_crop_doy_w20,130,0.089843216,0.066806338,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2021,safe_loo_doy_w10,130,0.090071222,0.066981977,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2021,safe_loo_doy_w20,130,0.089890701,0.066816024,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2021,safe_pca_rank1_b0.5,130,0.090389786,0.066543974,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2021,safe_pca_rank1_b1.0,130,0.092260344,0.067770390,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2021,safe_pca_rank2_b0.5,130,0.090512162,0.067129178,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2021,safe_pca_rank2_b1.0,130,0.092847149,0.068737635,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2022,safe_loo_date_w10,192,0.072263363,0.053015734,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2022,safe_loo_date_w20,192,0.072294324,0.053021981,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2022,safe_loo_crop_doy_w10,192,0.072302492,0.053018185,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2022,safe_loo_crop_doy_w20,192,0.072380847,0.053001161,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2022,safe_loo_doy_w10,192,0.072268044,0.053006377,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2022,safe_loo_doy_w20,192,0.072306718,0.052980464,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2022,safe_pca_rank1_b0.5,192,0.070261063,0.051378857,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2022,safe_pca_rank1_b1.0,192,0.069867292,0.050884358,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2022,safe_pca_rank2_b0.5,192,0.070186973,0.050969150,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2022,safe_pca_rank2_b1.0,192,0.069857292,0.049870950,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2023,safe_loo_date_w10,169,0.076062647,0.052357191,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2023,safe_loo_date_w20,169,0.075973315,0.052323249,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2023,safe_loo_crop_doy_w10,169,0.076250267,0.052389376,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2023,safe_loo_crop_doy_w20,169,0.076353784,0.052365063,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2023,safe_loo_doy_w10,169,0.076236651,0.052393284,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2023,safe_loo_doy_w20,169,0.076321896,0.052372879,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2023,safe_pca_rank1_b0.5,169,0.075304858,0.051901429,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2023,safe_pca_rank1_b1.0,169,0.076327928,0.053038952,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2023,safe_pca_rank2_b0.5,169,0.074823811,0.051476339,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2023,safe_pca_rank2_b1.0,169,0.075353601,0.052041223,False,crossfit/PCA correction; incompatible second-level fit
overnight_corrections,exact_hidden_doy,exact2024,safe_loo_date_w10,152,0.059200663,0.042453946,False,crossfit/PCA correction; incompatible second-level fit
