a,b,w_b,rmse,mae
base_k6,lag_k16_d3,0.4,0.06851853608597872,0.04890854032423359
base_k6,lag_k24_d2,0.6000000000000001,0.0685245612721706,0.048905783643527705
base_k6,lag_k24_d2,0.7000000000000001,0.06853200853107419,0.048845519745092665
base_k12,lag_k16_d3,0.5,0.06854314087298989,0.04931326264597011
base_k6,lag_k24_d2,0.55,0.06855817389451395,0.04895593203827044
base_k6,lag_k24_d2,0.75,0.06857306030264318,0.04884039194763166
base_k8,lag_k16_d3,0.4,0.0686018470304187,0.04915766728909861
base_k6,lag_k12_d2,0.45,0.06861406999541086,0.04898355657416541
base_k6,lag_k24_d2,0.5,0.06861663760839583,0.04901043694510443
lag_k12_d2,lag_k24_d2,0.8500000000000001,0.06862019032524179,0.04875388050102379
base_k8,lag_k12_d2,0.45,0.06862355040052555,0.049124346143645185
base_k12,lag_k12_d2,0.5,0.06862874817667887,0.04935111465511953
base_k6,lag_k24_d2,0.8,0.06863894699047478,0.04886285161707606
lag_k16_d3,lag_k24_d2,0.8500000000000001,0.06864302779071349,0.04876004208864601
base_k6,lag_k24_d2,0.45,0.0686998889688912,0.04907428616214972
base_k6,lag_k16_d3,0.35000000000000003,0.06871158264402706,0.049036293733870875
base_k6,lag_k24_d2,0.8500000000000001,0.06872959717164816,0.04889892480870873
base_k12,lag_k16_d3,0.45,0.06875179181653153,0.04950414830143598
base_k6,lag_k12_d2,0.4,0.0687546719488108,0.04907382797938697
base_k8,lag_k12_d2,0.4,0.06876467794040811,0.04922688398536252
base_k8,lag_k24_d2,0.7000000000000001,0.06877510687066478,0.04907863988906234
base_k8,lag_k24_d2,0.65,0.0687795277896518,0.04911854484415784
lag_k12_d2,lag_k24_d2,0.9,0.06878098836189332,0.04886149566740706
base_k8,lag_k24_d2,0.75,0.06878980127306983,0.049051784462754204
base_k8,lag_k16_d3,0.35000000000000003,0.06879134853008749,0.049307741612498436
lag_k16_d3,lag_k24_d2,0.9,0.06880127490858107,0.048867462409255845
base_k8,lag_k24_d2,0.6000000000000001,0.06880306034528408,0.04917227629137207
base_k12,lag_k12_d2,0.45,0.06880414452712208,0.04951460808266992
base_k6,lag_k24_d2,0.4,0.0688078380035196,0.049156720589409786
base_k8,lag_k24_d2,0.8,0.06882359875303469,0.049040143516974756
base_k6,lag_k24_d2,0.9,0.06884491302570876,0.04894201655277311
base_k8,lag_k24_d2,0.55,0.06884568493957573,0.04924358449136227
base_k8,lag_k24_d2,0.8500000000000001,0.0688764711890947,0.0490347722492493
base_k8,lag_k24_d2,0.5,0.06890736614277927,0.04932613031574663
base_k6,lag_k12_d2,0.35000000000000003,0.06891401151075172,0.04917689377789765
base_k6,lag_k16_d3,0.30000000000000004,0.06892206606394144,0.0491739989127975
base_k8,lag_k12_d2,0.35000000000000003,0.0689244856895308,0.04935885738297719
base_k6,lag_k24_d2,0.35000000000000003,0.06894036869515396,0.049258569975121555
base_k8,lag_k24_d2,0.9,0.06894837469889244,0.04903894477420809
lag_k12_d2,lag_k24_d2,0.9500000000000001,0.06895730507547436,0.048980356196425705
lag_k16_d3,lag_k24_d2,0.9500000000000001,0.06896996503994475,0.04898236966160839
base_k12,lag_k16_d3,0.4,0.06898069812154717,0.049710179819245706
base_k6,lag_k24_d2,0.9500000000000001,0.06898477085837378,0.04901418125729127
base_k8,lag_k24_d2,0.45,0.06898805284021256,0.0494159341861042
base_k8,lag_k16_d3,0.30000000000000004,0.06899671804755758,0.04946610179698474
base_k12,lag_k12_d2,0.4,0.06900539773249127,0.04970144607945379
base_k8,lag_k24_d2,0.9500000000000001,0.06903924982058211,0.04906276821808349
base_k6,hgb,0.1,0.06908208442312798,0.049031572582987064
base_k8,lag_k24_d2,0.4,0.06908767844301963,0.04951355965131141
base_k6,lag_k12_d2,0.30000000000000004,0.06909195904359226,0.049296425831063966
base_k8,hgb,0.1,0.06909725174873342,0.049320039798801625
base_k6,lag_k24_d2,0.30000000000000004,0.06909733959895625,0.049370484341913184
base_k12,hgb,0.15000000000000002,0.06909742053625324,0.049698548298657906
base_k8,lag_k12_d2,0.30000000000000004,0.0691028440480443,0.04950490608104602
base_k12,lag_k24_d2,0.9,0.0691343935254455,0.04920969071390679
base_k12,lag_k24_d2,0.9500000000000001,0.06913461834232931,0.049151685804771375
base_k12,lag_k24_d2,0.8500000000000001,0.06914834744479938,0.04928127348159981
hgb,lag_k24_d2,1.0,0.06914902175715736,0.049111027452190495
base_k12,lag_k24_d2,1.0,0.06914902175715736,0.049111027452190495
lag_k12_d2,lag_k24_d2,1.0,0.06914902175715736,0.049111027452190495
base_k8,lag_k24_d2,1.0,0.06914902175715736,0.049111027452190495
lag_k16_d3,lag_k24_d2,1.0,0.06914902175715736,0.049111027452190495
base_k6,lag_k24_d2,1.0,0.06914902175715736,0.049111027452190495
base_k6,lag_k16_d3,0.25,0.0691498271190291,0.04932181859982623
base_k12,lag_k24_d2,0.8,0.06917647152020791,0.049365135211225736
base_k8,lag_k24_d2,0.35000000000000003,0.06920616116084895,0.049618324997866475
base_k8,lag_k16_d3,0.25,0.06921781434156625,0.049630968468095914
base_k12,lag_k24_d2,0.75,0.06921874847936423,0.04945929264966362
base_k12,lag_k16_d3,0.35000000000000003,0.06922965886664126,0.04993087639065965
base_k12,lag_k12_d2,0.35000000000000003,0.06923228230116805,0.04990647161889539
base_k12,lag_k24_d2,0.7000000000000001,0.06927515241077964,0.04957132318078562
base_k6,lag_k24_d2,0.25,0.06927858458577058,0.049489458400196785
base_k6,lag_k12_d2,0.25,0.06928837117959132,0.0494252848579889
base_k8,lag_k12_d2,0.25,0.06929960978341825,0.04966453896474272
base_k8,lag_k24_d2,0.30000000000000004,0.0693434043338652,0.04972886906933252
base_k12,lag_k24_d2,0.65,0.06934564884293691,0.04969631602095249
base_k6,lag_k16_d3,0.2,0.06939469568817831,0.04948124903129105
base_k12,lag_k24_d2,0.6000000000000001,0.06943019484909282,0.04982672062635962
base_k8,lag_k16_d3,0.2,0.06945448722189299,0.04980174454771327
base_k6,lag_k24_d2,0.2,0.06948391370300469,0.04961567715520812
base_k12,lag_k12_d2,0.30000000000000004,0.06948454715501173,0.05012495599385512
base_k12,lag_k16_d3,0.30000000000000004,0.06949845853218756,0.050154616555117076
base_k8,lag_k24_d2,0.25,0.06949929682098685,0.049854165433445674
base_k6,lag_k12_d2,0.2,0.06950309137888898,0.04956612496327003
base_k8,lag_k12_d2,0.2,0.06951462658594558,0.04983223313935608
base_k12,lag_k24_d2,0.55,0.06952873917699057,0.049962701064554076
base_k12,lag_k24_d2,0.5,0.06964122240257477,0.05010265442348908
base_k6,lag_k16_d3,0.15000000000000002,0.06965649135372877,0.049646509983503964
base_k8,lag_k24_d2,0.2,0.0696737134407701,0.049989238643223924
base_k8,lag_k16_d3,0.15000000000000002,0.0697065780284174,0.04998848868431152
base_k6,lag_k24_d2,0.15000000000000002,0.069713114142821,0.04975067614591036
base_k6,lag_k12_d2,0.15000000000000002,0.06973595052758327,0.049718206801761144
base_k8,lag_k12_d2,0.15000000000000002,0.06974772566382777,0.05000864986375193
base_k12,lag_k12_d2,0.25,0.06976191696294319,0.05035721787682057
base_k12,lag_k24_d2,0.45,0.06976757710664522,0.05025658651087302
base_k12,lag_k16_d3,0.25,0.0697868678764998,0.05039304394177305
base_k6,hgb,0.05,0.06979407832260252,0.04963630031604288
base_k8,hgb,0.05,0.0698078392233012,0.0499548793197524
base_k12,hgb,0.1,0.06986299296316975,0.05040358939512713
base_k8,lag_k24_d2,0.15000000000000002,0.06986651546094641,0.05012640690213535
base_k12,lag_k24_d2,0.4,0.06990772807324239,0.050412072773122485
base_k6,lag_k16_d3,0.1,0.06993502402060976,0.04983456805782233
base_k6,lag_k24_d2,0.1,0.06996595130646,0.049891691256012345
base_k8,lag_k16_d3,0.1,0.06997392012564951,0.050180281624063766
base_k6,lag_k12_d2,0.1,0.0699867675708121,0.049879418782576464
base_k8,lag_k12_d2,0.1,0.06999872637279489,0.05019504921910809
base_k12,lag_k24_d2,0.35000000000000003,0.07006159250842808,0.05056954209478243
base_k12,lag_k12_d2,0.2,0.0700640935690402,0.05060874558866026
base_k8,lag_k24_d2,0.1,0.07007755113227043,0.05027143508585887
base_k12,lag_k16_d3,0.2,0.07009464484379001,0.050646760915509265
base_k12,lag_k24_d2,0.30000000000000004,0.07022908027801276,0.05073189957686997
base_k6,lag_k16_d3,0.05,0.07023009455218178,0.05004497124727178
base_k6,lag_k24_d2,0.05,0.07024216995274583,0.05006742744258123
base_k6,lag_k12_d2,0.05,0.0702553501756143,0.05006512813682581
base_k8,lag_k16_d3,0.05,0.07025633940942909,0.05038703126942755
base_k8,lag_k12_d2,0.05,0.07026743687508429,0.05039333850911168
base_k8,lag_k24_d2,0.05,0.07030665626205312,0.05043144579957488
base_k12,lag_k12_d2,0.15000000000000002,0.0703907574988149,0.05087847980808313
base_k12,lag_k24_d2,0.25,0.07041009416268382,0.0508991229878702
base_k12,base_k6,0.75,0.0704130538655811,0.05043762736722903
base_k12,base_k6,0.7000000000000001,0.07041725048294076,0.05049733322858876
base_k12,base_k6,0.8,0.07041882638060584,0.05038923556318614
base_k12,lag_k16_d3,0.15000000000000002,0.0704215354962191,0.05091665145205467
base_k12,base_k6,0.65,0.07043141445066896,0.05056197000017517
base_k12,base_k6,0.8500000000000001,0.07043456557693303,0.05034239982968165
base_k6,base_k8,0.5,0.07044212243229703,0.050383379078964494
base_k6,base_k8,0.45,0.0704425688693552,0.05036580546752767
base_k6,base_k8,0.55,0.07044378661181497,0.050401976789816734
base_k6,base_k8,0.4,0.07044512588286217,0.05034935364030259
base_k6,base_k8,0.6000000000000001,0.07044756125833201,0.05042091570351121
base_k6,base_k8,0.35000000000000003,0.07044979324300439,0.05033484548346278
base_k6,base_k8,0.65,0.07045344603263409,0.05043985461720567
base_k12,base_k6,0.6000000000000001,0.07045553975743328,0.05062861917071921
base_k6,base_k8,0.30000000000000004,0.0704565705303853,0.050320872030266896
base_k12,base_k6,0.9,0.07046026477558348,0.050305943420756095
base_k6,base_k8,0.7000000000000001,0.07046144040602241,0.05045879353090014
