route,slice,n,alpha_opt,rmse_opt,alpha_grid,rmse_grid,rmse_a040,rmse_baseline
soft_all_r32_l0_p4,year_2018,366,0.4957150819,0.0559339000,0.5000000000,0.0559340062,0.0559868623,0.0573375539
post_mode,year_2018,366,0.4341320392,0.0562886089,0.4300000000,0.0562887048,0.0562951527,0.0573375539
soft_all_r1_l0_p4,year_2019,555,0.6073555050,0.0745364328,0.6100000000,0.0745364726,0.0747809594,0.0766089416
soft_crop_r1_l0_p4,year_2019,555,0.6073555050,0.0745364328,0.6100000000,0.0745364726,0.0747809594,0.0766089416
soft_all_r2_l0_p4,year_2019,555,0.5329147616,0.0749302718,0.5300000000,0.0749303226,0.0750357902,0.0766089416
crop_hier_n1_p67,year_2019,555,0.5073251677,0.0750710867,0.5100000000,0.0750711298,0.0751405844,0.0766089416
post_mode,year_2019,555,0.4403592135,0.0755443989,0.4400000000,0.0755443996,0.0755534033,0.0766089416
soft_all_r32_l0_p4,year_2019,555,0.4450505455,0.0756010005,0.4500000000,0.0756011260,0.0756113966,0.0766089416
crop_hier_n1_p67,year_2020,570,0.3814605481,0.0660190715,0.3800000000,0.0660190820,0.0660207578,0.0667291635
soft_all_r1_l0_p4,year_2020,570,0.2886072899,0.0663243293,0.2900000000,0.0663243387,0.0663847939,0.0667291635
soft_crop_r1_l0_p4,year_2020,570,0.2886072899,0.0663243293,0.2900000000,0.0663243387,0.0663847939,0.0667291635
soft_all_r2_l0_p4,year_2020,570,0.2752383937,0.0663796407,0.2800000000,0.0663797456,0.0664516065,0.0667291635
soft_all_r32_l0_p4,year_2020,570,0.0156417800,0.0667281016,0.0200000000,0.0667281840,0.0673662455,0.0667291635
post_mode,year_2020,570,0.0000000000,0.0667291635,0.0000000000,0.0667291635,0.0675232488,0.0667291635
crop_hier_n1_p67,year_2021,483,0.3820226630,0.0842806769,0.3800000000,0.0842807043,0.0842828397,0.0852517351
soft_all_r2_l0_p4,year_2021,483,0.3694000798,0.0844423746,0.3700000000,0.0844423768,0.0844479548,0.0852517351
soft_all_r1_l0_p4,year_2021,483,0.3477440738,0.0845659463,0.3500000000,0.0845659753,0.0845814938,0.0852517351
soft_crop_r1_l0_p4,year_2021,483,0.3477440738,0.0845659463,0.3500000000,0.0845659753,0.0845814938,0.0852517351
soft_all_r32_l0_p4,year_2021,483,0.3194968553,0.0847860648,0.3200000000,0.0847860659,0.0848157053,0.0852517351
post_mode,year_2021,483,0.1590159467,0.0851183555,0.1600000000,0.0851183606,0.0854243720,0.0852517351
soft_all_r2_l0_p4,year_2022,495,0.1978233102,0.0674208346,0.2000000000,0.0674208759,0.0677759474,0.0677608570
soft_all_r1_l0_p4,year_2022,495,0.1921909141,0.0674471295,0.1900000000,0.0674471703,0.0678137748,0.0677608570
soft_crop_r1_l0_p4,year_2022,495,0.1921909141,0.0674471295,0.1900000000,0.0674471703,0.0678137748,0.0677608570
soft_all_r32_l0_p4,year_2022,495,0.2169072039,0.0674612459,0.2200000000,0.0674613069,0.0676748594,0.0677608570
crop_hier_n1_p67,year_2022,495,0.1612499128,0.0675337731,0.1600000000,0.0675337868,0.0680306050,0.0677608570
