method,n,rmse,mae
ext40+season16_trim*0.2,2644,0.07636937979825997,0.04990310248214814
ext40+season24_median*0.2,2644,0.0764127792970477,0.04992527234893971
ext40+season8_mean*0.2,2644,0.07649270047780798,0.04999278633053525
hgb+year_doy8_ridge*0.4,2644,0.07651768668385023,0.04755145674214851
hgb+year_doy8_none*0.4,2644,0.07651907131205195,0.04749770329114573
ext40+season8_trim*0.2,2644,0.07654879751144221,0.05002513412312196
ext40+season16_median*0.2,2644,0.07655317713901427,0.05002668407216913
ext40+season8_median*0.2,2644,0.07673321510272803,0.05016961935496714
hgb+doy8_none*0.4,2644,0.07675659556052122,0.0479234167338515
hgb+doy8_ridge*0.4,2644,0.07682199341424387,0.0479100227603787
hgb+doy16_none*0.4,2644,0.07693234175057416,0.04797206418078759
hgb+doy16_ridge*0.4,2644,0.07695684141943926,0.047986087321988544
hgb+season24_mean*0.2,2644,0.07703608269419054,0.05058107213495761
hgb+season24_trim*0.2,2644,0.07707591545958672,0.05059283168454837
hgb+season16_mean*0.2,2644,0.07712758661154978,0.0507218638610825
hgb+season16_trim*0.2,2644,0.07719963557868746,0.05075092544130122
joint40+season24_mean*0.2,2644,0.07724711746999241,0.050932699228428344
hgb+season24_median*0.2,2644,0.07725796798463486,0.05069441199562837
joint40+season16_mean*0.2,2644,0.07726312491174273,0.05101279242362532
joint40+season24_trim*0.2,2644,0.07728584880719327,0.05092402219410257
joint40+season16_trim*0.2,2644,0.07733490347362583,0.05101455394551703
hgb+season16_median*0.2,2644,0.07738795959214241,0.050873204256610724
hgb+season8_mean*0.2,2644,0.07740366571812576,0.05084788707146811
joint40+season24_median*0.2,2644,0.07743669642964307,0.051002459067556946
hgb+season8_trim*0.2,2644,0.077456791048009,0.050895717542152843
joint40+season8_mean*0.2,2644,0.07749739289752361,0.05112003772005578
joint40+season16_median*0.2,2644,0.07749902675728079,0.05110721105776743
joint40+season8_trim*0.2,2644,0.07755363420973088,0.05113817914846297
hgb+season8_median*0.2,2644,0.07764292137571098,0.0510236640278447
joint40+season8_median*0.2,2644,0.07771682793588158,0.05125739403322798
ext40+year_doy8_ridge*0.5,2644,0.07776479242030085,0.04884601169528655
ext40+year_doy8_none*0.5,2644,0.07777873882996315,0.04879800888892503
ext40+doy8_none*0.5,2644,0.0780546169742124,0.04934870454380651
joint40+year_doy8_ridge*0.5,2644,0.0780653077056911,0.04904893926037103
joint40+year_doy8_none*0.5,2644,0.07809925725707671,0.049005454528736093
ext40+doy8_ridge*0.5,2644,0.0781549594170726,0.0492989855362501
ext40+doy16_none*0.5,2644,0.0782676433673396,0.04933522254053759
ext40+doy16_ridge*0.5,2644,0.07833276505608545,0.04937499676042624
joint40+doy8_none*0.5,2644,0.07838184358233587,0.049573639957942964
joint40+doy8_ridge*0.5,2644,0.07846237574835598,0.0494891227435673
