lag_weight,method,alpha,cap,baseline_rmse_exact,baseline_rmse_random,baseline_rmse_random2025,delta_rmse_exact,delta_rmse_random,delta_rmse_random2025,folds_exact,folds_random,folds_random2025,rmse_exact,rmse_random,rmse_random2025,wins_exact,wins_random,wins_random2025,worst_delta,mean_delta
0.400000000,source,1.000000000,0.040000000,0.061853690,0.071666238,0.061472745,0.000229300,0.000008919,0.000043485,6,3,3,0.062082989,0.071675157,0.061516230,2,1,1,0.000229300,0.000093901
0.400000000,source_year_doy,0.100000000,0.010000000,0.061853690,0.071666238,0.061472745,0.000230120,0.000059209,0.000119983,6,3,3,0.062083810,0.071725447,0.061592728,1,1,1,0.000230120,0.000136437
0.325000000,source_year,1.000000000,0.040000000,0.061798059,0.071355396,0.061489887,0.000230508,0.000073894,0.000092491,6,3,3,0.062028567,0.071429290,0.061582378,2,1,0,0.000230508,0.000132297
0.325000000,source_year,10.000000000,0.020000000,0.061798059,0.071355396,0.061489887,0.000232343,0.000058517,0.000087188,6,3,3,0.062030402,0.071413913,0.061577075,2,0,0,0.000232343,0.000126016
0.325000000,source_year,10.000000000,0.040000000,0.061798059,0.071355396,0.061489887,0.000232343,0.000058517,0.000087188,6,3,3,0.062030402,0.071413913,0.061577075,2,0,0,0.000232343,0.000126016
0.300000000,source_year,10.000000000,0.020000000,0.061801158,0.071268305,0.061513373,0.000235313,0.000062008,0.000083966,6,3,3,0.062036471,0.071330313,0.061597340,2,0,0,0.000235313,0.000127096
0.300000000,source_year,10.000000000,0.040000000,0.061801158,0.071268305,0.061513373,0.000235313,0.000062008,0.000083966,6,3,3,0.062036471,0.071330313,0.061597340,2,0,0,0.000235313,0.000127096
0.300000000,source_year,1.000000000,0.040000000,0.061801158,0.071268305,0.061513373,0.000235734,0.000077722,0.000089349,6,3,3,0.062036892,0.071346027,0.061602722,2,1,0,0.000235734,0.000134268
0.350000000,source,1.000000000,0.040000000,0.061807288,0.071430462,0.061470550,0.000238864,0.000016808,0.000039466,6,3,3,0.062046151,0.071447270,0.061510015,2,1,1,0.000238864,0.000098379
0.300000000,source_year_doy,0.100000000,0.010000000,0.061801158,0.071268305,0.061513373,0.000241361,0.000079787,0.000108061,6,3,3,0.062042519,0.071348092,0.061621434,1,0,1,0.000241361,0.000143070
0.400000000,source,10.000000000,0.020000000,0.061853690,0.071666238,0.061472745,0.000241466,-0.000000736,0.000042193,6,3,3,0.062095156,0.071665501,0.061514939,2,1,1,0.000241466,0.000094308
0.400000000,source,10.000000000,0.040000000,0.061853690,0.071666238,0.061472745,0.000241695,-0.000000736,0.000042193,6,3,3,0.062095385,0.071665501,0.061514939,2,1,1,0.000241695,0.000094384
0.325000000,source,1.000000000,0.040000000,0.061798059,0.071355396,0.061489887,0.000243519,0.000024763,0.000044216,6,3,3,0.062041578,0.071380159,0.061534103,2,1,0,0.000243519,0.000104166
0.325000000,source_year_doy,0.100000000,0.010000000,0.061798059,0.071355396,0.061489887,0.000244279,0.000075703,0.000113006,6,3,3,0.062042338,0.071431099,0.061602893,1,0,1,0.000244279,0.000144329
0.350000000,source,10.000000000,0.020000000,0.061807288,0.071430462,0.061470550,0.000245779,0.000006405,0.000038310,6,3,3,0.062053067,0.071436867,0.061508860,2,1,1,0.000245779,0.000096831
0.350000000,source,10.000000000,0.040000000,0.061807288,0.071430462,0.061470550,0.000246204,0.000006405,0.000038310,6,3,3,0.062053492,0.071436867,0.061508860,2,1,1,0.000246204,0.000096973
0.400000000,source_year_doy,10.000000000,0.020000000,0.061853690,0.071666238,0.061472745,0.000246832,0.000078347,0.000113203,6,3,3,0.062100522,0.071744585,0.061585948,2,0,1,0.000246832,0.000146127
0.400000000,source_year_doy,10.000000000,0.040000000,0.061853690,0.071666238,0.061472745,0.000247105,0.000078347,0.000113203,6,3,3,0.062100795,0.071744585,0.061585948,2,0,1,0.000247105,0.000146218
0.300000000,source,1.000000000,0.040000000,0.061801158,0.071268305,0.061513373,0.000248289,0.000028605,0.000042442,6,3,3,0.062049446,0.071296911,0.061555816,2,1,0,0.000248289,0.000106445
0.350000000,source_year_doy,10.000000000,0.020000000,0.061807288,0.071430462,0.061470550,0.000251661,0.000084735,0.000105107,6,3,3,0.062058948,0.071515198,0.061575657,2,0,1,0.000251661,0.000147168
0.350000000,source_year_doy,10.000000000,0.040000000,0.061807288,0.071430462,0.061470550,0.000252500,0.000084735,0.000105107,6,3,3,0.062059788,0.071515198,0.061575657,2,0,1,0.000252500,0.000147448
0.325000000,source,10.000000000,0.020000000,0.061798059,0.071355396,0.061489887,0.000255604,0.000013771,0.000043077,6,3,3,0.062053663,0.071369167,0.061532965,2,1,0,0.000255604,0.000104151
0.325000000,source,10.000000000,0.040000000,0.061798059,0.071355396,0.061489887,0.000255870,0.000013771,0.000043077,6,3,3,0.062053929,0.071369167,0.061532965,2,1,0,0.000255870,0.000104239
0.300000000,source,10.000000000,0.020000000,0.061801158,0.071268305,0.061513373,0.000257683,0.000017243,0.000041357,6,3,3,0.062058841,0.071285548,0.061554730,2,1,0,0.000257683,0.000105427
0.300000000,source,10.000000000,0.040000000,0.061801158,0.071268305,0.061513373,0.000258047,0.000017243,0.000041357,6,3,3,0.062059205,0.071285548,0.061554730,2,1,0,0.000258047,0.000105549
