protocol,partition,kind,scale,n,rmse,mae,corr_abs
random,random2,global,0.5,2644,0.06804776631549338,0.0408262123982376,0.0036310389703042975
random,random0,global,0.75,2644,0.07339220648602784,0.04366322610528578,0.005849047742058623
random,random1,global,0.75,2644,0.06643732628906296,0.04338267223362017,0.005743036255658037
random,random2,global,0.75,2644,0.06804629361329564,0.04095443758353684,0.005446558455456447
random,random0,global,1.0,2644,0.07349903327897978,0.04395013525661543,0.007798730322744831
random,random1,global,1.0,2644,0.0665199506833162,0.04354495836960353,0.007657381674210716
random,random2,global,1.0,2644,0.06809865961059114,0.041164299184897044,0.007262077940608595
random,random0,median,0.25,2644,0.07336023671576947,0.04341759760646646,0.001311403551322659
random,random1,median,0.25,2644,0.06648518041698936,0.04330508996076728,0.001169674174487678
random,random2,median,0.25,2644,0.06812706437971938,0.040775218050185205,0.0011921103283205605
random,random0,median,0.5,2644,0.073337319190677,0.043408170628199766,0.002622807102645318
random,random1,median,0.5,2644,0.06645299158470878,0.04327414747610883,0.002339348348975356
random,random2,median,0.5,2644,0.06806570367362413,0.04075071184236389,0.002384220656641121
random,random0,median,0.75,2644,0.07334059852607602,0.04344742974437156,0.0039342106539679775
random,random1,median,0.75,2644,0.06644452703182169,0.043273771711434254,0.003509022523463035
random,random2,median,0.75,2644,0.06802806829649263,0.04076280589622839,0.003576330984961682
random,random0,median,1.0,2644,0.07337007120929624,0.04353878964117956,0.005245614205290636
random,random1,median,1.0,2644,0.06645979582315116,0.043305414333422845,0.004678696697950712
random,random2,median,1.0,2644,0.06801419763327654,0.04080943800446488,0.004768441313282242
random,random0,doy,0.25,2644,0.07337091070116418,0.04344931214868376,0.0020157374808631007
random,random1,doy,0.25,2644,0.06643926688442452,0.04330368138691426,0.0019078584782522365
random,random2,doy,0.25,2644,0.06811142803624944,0.040799008103028875,0.001971773539221132
random,random0,doy,0.5,2644,0.07341425086714887,0.043571437816568054,0.0040314749617262014
random,random1,doy,0.5,2644,0.06641506631005135,0.043325653914744675,0.003815716956504473
random,random2,doy,0.5,2644,0.06809597728351184,0.040885869761931794,0.003943547078442264
random,random0,doy,0.75,2644,0.07353920251619481,0.0438283136699884,0.0060472124425893035
random,random1,doy,0.75,2644,0.06646854212735089,0.043433847120704715,0.00572357543475671
random,random2,doy,0.75,2644,0.06816579207028145,0.041099696262561186,0.005915320617663396
random,random0,doy,1.0,2644,0.07374535081018967,0.044205976326001074,0.008062949923452403
random,random1,doy,1.0,2644,0.06659950722670918,0.043638412727688175,0.007631433913008946
random,random2,doy,1.0,2644,0.06832061100615278,0.041429371055544256,0.007887094156884529
random,random0,canon,0.25,2644,0.07331756060003869,0.04338001531279456,0.0019866340132332766
random,random1,canon,0.25,2644,0.06643689991434167,0.043253853968323125,0.0019482074197583854
random,random2,canon,0.25,2644,0.06806743179817895,0.04074204015902869,0.0019999562019326644
random,random0,canon,0.5,2644,0.07328951634323921,0.04342214391191324,0.003973268026466553
random,random1,canon,0.5,2644,0.06640059900324628,0.04323628199953359,0.0038964148395167707
random,random2,canon,0.5,2644,0.06799594079486893,0.04075517120673087,0.003999912403865329
random,random0,canon,0.75,2644,0.07332526690967632,0.043573289788371,0.00595990203969983
random,random1,canon,0.75,2644,0.06643226760644413,0.04329862223000431,0.005844622259275157
random,random2,canon,0.75,2644,0.06799784414471872,0.0408566851217095,0.005999868605797993
random,random0,canon,1.0,2644,0.07342471911412658,0.04382754982708998,0.007946536052933106
random,random1,canon,1.0,2644,0.06653180866518765,0.04345795427951628,0.0077928296790335414
random,random2,canon,1.0,2644,0.0680731356913295,0.0410587248876938,0.007999824807730658
random,random0,mode,0.25,2644,0.0733445951056917,0.043424566908608145,0.0022419648503760894
random,random1,mode,0.25,2644,0.06642291688364087,0.04327002450263878,0.002177491951431906
random,random2,mode,0.25,2644,0.06807061355330347,0.040750234627835204,0.0020838032873970345
random,random0,mode,0.5,2644,0.07335011584382647,0.043511377238010886,0.004483929700752179
random,random1,mode,0.5,2644,0.06637611112624049,0.04326884753607649,0.004354983902863812
random,random2,mode,0.5,2644,0.06799590881142198,0.04078282615342019,0.004167606574794069
random,random0,mode,0.75,2644,0.0734258729343632,0.04373138885367941,0.006725894551128268
random,random1,mode,0.75,2644,0.06640079268190341,0.04335916226578857,0.006532475854295718
random,random2,mode,0.75,2644,0.06798819225494099,0.04091824886045873,0.0062514098621911035
random,random0,mode,1.0,2644,0.07357164940946559,0.044083120632748954,0.008967859401504357
random,random1,mode,1.0,2644,0.06649688194913604,0.04354702206015055,0.008709967805727624
random,random2,mode,1.0,2644,0.0680474866731608,0.041149338582789956,0.008335213149588138
