dataset,partition,method,n,rmse,mae,rmse_2025,mae_2025,n_2025,rmse_shared,mae_shared,n_shared,rmse_new,mae_new,n_new,rmse_S2,mae_S2,n_S2,rmse_L8,mae_L8,n_L8,rmse_MOD,mae_MOD,n_MOD
exact_hidden_doy,exact2020,shock_shock_date_a0.35,222,0.05565014179634212,0.03733288867648719,,,,0.05565014179634212,0.03733288867648719,222,,,,0.054427610028229885,0.035203525762164345,128,0.03544570766556237,0.02559481726283749,25,0.06335175070759151,0.04553593560945189,69
exact_hidden_doy,exact2020,shock_shock_date_a0.60,222,0.05546442078921228,0.03719512732693348,,,,0.05546442078921228,0.03719512732693348,222,,,,0.05450363803355357,0.03523096891661341,128,0.035308135514936695,0.025373307876432064,25,0.06273127271058525,0.04512205142524515,69
exact_hidden_doy,exact2020,shock_shock_date_a1.00,222,0.05523850552052928,0.037129077702538434,,,,0.05523850552052928,0.037129077702538434,222,,,,0.054667225085331166,0.03541036615887576,128,0.035135011558336315,0.02511180700437051,25,0.06185496166681746,0.04467149574664017,69
exact_hidden_doy,exact2020,shock_shock_crop_a0.35,222,0.05534991345696929,0.03709987937027854,,,,0.05534991345696929,0.03709987937027854,222,,,,0.054277389935057825,0.03495233599469457,128,0.035154039846473674,0.025244406863984076,25,0.06280109130745487,0.04537918900407724,69
exact_hidden_doy,exact2020,shock_shock_crop_a0.60,222,0.05500222311010335,0.03685732099483294,,,,0.05500222311010335,0.03685732099483294,222,,,,0.05428096399691274,0.03486623856329652,128,0.034839516379207,0.02478577568108886,25,0.061869116314715394,0.0449246714887498,69
exact_hidden_doy,exact2020,shock_shock_crop_a1.00,222,0.05461124570512544,0.036619086910082185,,,,0.05461124570512544,0.036619086910082185,222,,,,0.05438921689470177,0.03489523509758159,128,0.034440597659409926,0.024078892436494557,25,0.060647278722335954,0.04436050566138314,69
exact_hidden_doy,exact2020,shock_shock_near_a0.35,222,0.05583357497394684,0.03751899682543203,,,,0.05583357497394684,0.03751899682543203,222,,,,0.05441959695585765,0.03527111636662121,128,0.035764351563453305,0.025985398895583177,25,0.06381720858263835,0.04586781779606979,69
exact_hidden_doy,exact2020,shock_shock_near_a0.60,222,0.05574721683461686,0.037461099975903064,,,,0.05574721683461686,0.037461099975903064,222,,,,0.05447114125881584,0.03528391950782342,128,0.035832693355803184,0.025988971087964184,25,0.0634779395382801,0.045656495948550424,69
exact_hidden_doy,exact2020,shock_shock_near_a1.00,222,0.055624561880864974,0.037389553751907785,,,,0.055624561880864974,0.037389553751907785,222,,,,0.054563238014807794,0.03534098030894799,128,0.03595065264866352,0.025994686595773784,25,0.06295873436177263,0.045318380992519426,69
exact_hidden_doy,exact2020,shock_shock_date_filled_a0.35,222,0.05564291482061395,0.03732607568882444,,,,0.05564291482061395,0.03732607568882444,222,,,,0.054432873745462365,0.03520377206888712,128,0.0354393923062507,0.025583087690702565,25,0.06332421141579313,0.04551780849034655,69
exact_hidden_doy,exact2020,shock_shock_date_filled_a0.60,222,0.05545456702863228,0.03718778694266799,,,,0.05545456702863228,0.03718778694266799,222,,,,0.054514162202319236,0.035234709728758404,128,0.03529897170521902,0.025361375376586715,25,0.06268813390666952,0.04509581842864566,69
exact_hidden_doy,exact2020,shock_shock_date_filled_a1.00,222,0.05522891587158361,0.03713022849116036,,,,0.05522891587158361,0.03713022849116036,222,,,,0.05468873511113619,0.035426876659817044,128,0.03512423249168875,0.025097430582861367,25,0.06179432628138825,0.04464977895665917,69
exact_hidden_doy,exact2020,joint_robust_shock,222,0.05524314836411678,0.036878479893725544,,,,0.05524314836411678,0.036878479893725544,222,,,,0.054968418678622774,0.03541573734291041,128,0.03442097550326816,0.024525605540931476,25,0.061517672306816866,0.04406765243465579,69
exact_hidden_doy,exact2021,hgb,130,0.07749551713412782,0.05719327837556267,,,,0.07749551713412782,0.05719327837556267,130,,,,0.09349776064597588,0.06909274067329747,37,0.05061391120723912,0.04125360792278134,35,0.07961248131448073,0.05922100873472056,58
exact_hidden_doy,exact2021,lagblend20,130,0.07722274795685638,0.056872823530196855,,,,0.07722274795685638,0.056872823530196855,130,,,,0.09228284027542033,0.0684955930617679,37,0.05202299666046966,0.041730734110065094,35,0.07937423378541666,0.05859576589289483,58
exact_hidden_doy,exact2021,interp_blend0.05,130,0.07831069071412432,0.058142293382907974,,,,0.07831069071412432,0.058142293382907974,130,,,,0.0936637159830205,0.0689514129699643,37,0.05016266924913195,0.04107865070759143,35,0.08142757468475771,0.06154384629523547,58
exact_hidden_doy,exact2021,robust_blend0.05,130,0.07799292327936827,0.05774576763110358,,,,0.07799292327936827,0.05774576763110358,130,,,,0.09331385879405793,0.06884054178595274,37,0.05007162758119233,0.04080843683178072,35,0.08103309174200607,0.060888869945704985,58
exact_hidden_doy,exact2021,interp_blend0.10,130,0.07947737209220748,0.05921921816222825,,,,0.07947737209220748,0.05921921816222825,130,,,,0.09400303106788142,0.06893808007812006,37,0.049994069893964946,0.04090369349240154,35,0.08374144499805455,0.06407172630974443,58
exact_hidden_doy,exact2021,robust_blend0.10,130,0.07866289831632474,0.058433999145816616,,,,0.07866289831632474,0.058433999145816616,130,,,,0.09321208947997767,0.06858834289860799,37,0.04972294205058246,0.04036326574078012,35,0.08267233373166603,0.06286098104793726,58
exact_hidden_doy,exact2021,interp_blend0.15,130,0.08098037021134066,0.06039404705516539,,,,0.08098037021134066,0.06039404705516539,130,,,,0.09451383877726922,0.06908556746381649,37,0.05011096609314988,0.04076383847016128,35,0.08651408125276343,0.06669527197508013,58
