protocol,partition,method,source,n,rmse,mae
private_like,random1,base_hard,s2,1181,0.08162779747137405,0.04986153433205627
private_like,random1,base_hard,landsat,1002,0.06872657016074732,0.04971850509377883
private_like,random1,base_hard,modis,461,0.08360244392812453,0.06383289011667105
private_like,random1,base_oracle_source,all,2644,0.07328264815278165,0.048480587004033134
private_like,random1,base_route_accuracy,all,2644,0.8751891074130106,0.29338358698878914
private_like,random1,lag_soft,all,2644,0.07281649799174637,0.04909549473829748
private_like,random1,lag_soft,s2,1181,0.08003787404466361,0.04897896403224228
private_like,random1,lag_soft,landsat,1002,0.06332747085377316,0.04636924296490262
private_like,random1,lag_soft,modis,461,0.07268004313205888,0.055319631486221245
private_like,random1,lag_hard,all,2644,0.07475011998105206,0.05015729235919718
private_like,random1,lag_hard,s2,1181,0.08082271045227335,0.048859933539016694
private_like,random1,lag_hard,landsat,1002,0.06566172328629823,0.04815379655801308
private_like,random1,lag_hard,modis,461,0.07707813762700452,0.05783556472236338
private_like,random1,lag_oracle_source,all,2644,0.06999442989718747,0.0459329648380262
private_like,random1,lag_route_accuracy,all,2644,0.8751891074130106,0.29338358698878914
private_2025_date,date25_1,base_soft,all,925,0.08541279791374909,0.04620150200640345
private_2025_date,date25_1,base_soft,s2,608,0.07551761712063192,0.04532218610125198
private_2025_date,date25_1,base_soft,landsat,208,0.11243933263183326,0.04089302094858661
private_2025_date,date25_1,base_soft,modis,109,0.07729153554332019,0.06123625549592638
private_2025_date,date25_1,base_hard,all,925,0.08709210447736163,0.04727947069190294
private_2025_date,date25_1,base_hard,s2,608,0.07614610779741758,0.045219274118812054
private_2025_date,date25_1,base_hard,landsat,208,0.11483710020984321,0.04306106890653016
private_2025_date,date25_1,base_hard,modis,109,0.08282960244809912,0.06682100360746991
private_2025_date,date25_1,base_oracle_source,all,925,0.08240163019136443,0.04260982250593108
private_2025_date,date25_1,base_route_accuracy,all,925,0.867027027027027,0.3232615211386732
private_2025_date,date25_1,lag_soft,all,925,0.08356181393251895,0.044003747208672915
private_2025_date,date25_1,lag_soft,s2,608,0.07363627382908558,0.04296892490381761
private_2025_date,date25_1,lag_soft,landsat,208,0.11203269541524488,0.04108380390682342
private_2025_date,date25_1,lag_soft,modis,109,0.07112781000606404,0.05534796893469787
private_2025_date,date25_1,lag_hard,all,925,0.08594111483384481,0.04541952446984379
private_2025_date,date25_1,lag_hard,s2,608,0.07459895468324738,0.04273785382730757
private_2025_date,date25_1,lag_hard,landsat,208,0.11467546791674499,0.04336487558112686
private_2025_date,date25_1,lag_hard,modis,109,0.0808847764295829,0.0642986319883314
private_2025_date,date25_1,lag_oracle_source,all,925,0.08060806028606682,0.04008557928942076
private_2025_date,date25_1,lag_route_accuracy,all,925,0.867027027027027,0.3232615211386732
private_like,random2,base_soft,all,2644,0.07851486701071675,0.050056088875075844
private_like,random2,base_soft,s2,1186,0.07593578601157845,0.04725625348839184
private_like,random2,base_soft,landsat,1025,0.08186564719312592,0.049035350331784626
private_like,random2,base_soft,modis,433,0.07735318804031026,0.060141219996278375
private_like,random2,base_hard,all,2644,0.07990946175293721,0.05098181182946868
private_like,random2,base_hard,s2,1186,0.07649872607219867,0.046841560357271765
private_like,random2,base_hard,landsat,1025,0.08354753645457096,0.050745416211876705
private_like,random2,base_hard,modis,433,0.08024338578915446,0.0628816819312177
private_like,random2,base_oracle_source,all,2644,0.07632046713896382,0.0474428427134897
private_like,random2,base_route_accuracy,all,2644,0.8793494704992436,0.28457608106314275
private_like,random2,lag_soft,all,2644,0.0764391962842863,0.04791963513806771
private_like,random2,lag_soft,s2,1186,0.073425311051802,0.045197262238547885
private_like,random2,lag_soft,landsat,1025,0.08043765075861463,0.047162594005749736
private_like,random2,lag_soft,modis,433,0.0748013069365925,0.057168368208405915
private_like,random2,lag_hard,all,2644,0.07809577583151336,0.04907921017643445
private_like,random2,lag_hard,s2,1186,0.07399425463106234,0.045001972459406785
private_like,random2,lag_hard,landsat,1025,0.08217197276600517,0.04901882928254745
private_like,random2,lag_hard,modis,433,0.07912713531246561,0.06038982068135127
private_like,random2,lag_oracle_source,all,2644,0.07454335354020487,0.04551834826362747
private_like,random2,lag_route_accuracy,all,2644,0.8793494704992436,0.28457608106314275
private_2025_date,date25_2,base_soft,all,925,0.06875365676338081,0.044746424813306325
private_2025_date,date25_2,base_soft,s2,593,0.07156580705366702,0.04494733688437928
private_2025_date,date25_2,base_soft,landsat,218,0.0556312994614616,0.03597329951130524
private_2025_date,date25_2,base_soft,modis,114,0.07612966699896544,0.060478007775499026
private_2025_date,date25_2,base_hard,all,925,0.06973586802437018,0.04516692574895275
private_2025_date,date25_2,base_hard,s2,593,0.07149850376347477,0.04434574846829014
private_2025_date,date25_2,base_hard,landsat,218,0.05775394066311482,0.03731580273609051
private_2025_date,date25_2,base_hard,modis,114,0.08055613821781038,0.0644520392948904
private_2025_date,date25_2,base_oracle_source,all,925,0.06626420459893237,0.041543847363774956
private_2025_date,date25_2,base_route_accuracy,all,925,0.8778378378378379,0.2999012811268993
private_2025_date,date25_2,lag_soft,all,925,0.06685725791674016,0.04286021989623959
private_2025_date,date25_2,lag_soft,s2,593,0.07039359126931886,0.04275189929679905
private_2025_date,date25_2,lag_soft,landsat,218,0.054488239353980936,0.036757733706075726
private_2025_date,date25_2,lag_soft,modis,114,0.06939260799277917,0.05509334362364274
private_2025_date,date25_2,lag_hard,all,925,0.06858942469255992,0.04341677516577887
private_2025_date,date25_2,lag_hard,s2,593,0.07067552683688201,0.042237972925462754
private_2025_date,date25_2,lag_hard,landsat,218,0.05709970650738123,0.03786405451543217
private_2025_date,date25_2,lag_hard,modis,114,0.0771678548821813,0.06016697543141944
private_2025_date,date25_2,lag_oracle_source,all,925,0.06396492974926217,0.039143481153291054
private_2025_date,date25_2,lag_route_accuracy,all,925,0.8778378378378379,0.2999012811268993
