route,policy,slice,n,rmse,rmse_base
soft_all_r1_l0_p4,confidence_src,seed70404,2644,0.0683609239,0.0694751110
soft_all_r1_l0_p4,confidence_src,new2025,1516,0.0779538831,0.0797533421
soft_all_r1_l0_p4,confidence_src,shared2025,1508,0.0507764758,0.0513951813
soft_all_r1_l0_p4,confidence_src,near,6890,0.0647336204,0.0662006592
soft_all_r1_l0_p4,confidence_src,mid,1711,0.0718348997,0.0729940242
soft_all_r1_l0_p4,confidence_src,far,1975,0.0701141463,0.0700986011
soft_all_r2_l0_p4,fixed040,all,10576,0.0669261744,0.0680787938
soft_all_r2_l0_p4,fixed040,seed0,2644,0.0704062001,0.0713661302
soft_all_r2_l0_p4,fixed040,seed1,2644,0.0632082417,0.0644679552
soft_all_r2_l0_p4,fixed040,seed2,2644,0.0654782116,0.0668046092
soft_all_r2_l0_p4,fixed040,seed70404,2644,0.0683866966,0.0694751110
soft_all_r2_l0_p4,fixed040,new2025,1516,0.0781417109,0.0797533421
soft_all_r2_l0_p4,fixed040,shared2025,1508,0.0503519141,0.0513951813
soft_all_r2_l0_p4,fixed040,near,6890,0.0647292656,0.0662006592
soft_all_r2_l0_p4,fixed040,mid,1711,0.0718082489,0.0729940242
soft_all_r2_l0_p4,fixed040,far,1975,0.0700097516,0.0700986011
soft_all_r2_l0_p4,predsrc_ls045,all,10576,0.0669182464,0.0680787938
soft_all_r2_l0_p4,predsrc_ls045,seed0,2644,0.0703975640,0.0713661302
soft_all_r2_l0_p4,predsrc_ls045,seed1,2644,0.0631953641,0.0644679552
soft_all_r2_l0_p4,predsrc_ls045,seed2,2644,0.0654807871,0.0668046092
soft_all_r2_l0_p4,predsrc_ls045,seed70404,2644,0.0683739884,0.0694751110
soft_all_r2_l0_p4,predsrc_ls045,new2025,1516,0.0780777120,0.0797533421
soft_all_r2_l0_p4,predsrc_ls045,shared2025,1508,0.0503816965,0.0513951813
soft_all_r2_l0_p4,predsrc_ls045,near,6890,0.0646989591,0.0662006592
soft_all_r2_l0_p4,predsrc_ls045,mid,1711,0.0718372689,0.0729940242
soft_all_r2_l0_p4,predsrc_ls045,far,1975,0.0700411011,0.0700986011
soft_all_r2_l0_p4,predsrc_ls050,all,10576,0.0669199655,0.0680787938
soft_all_r2_l0_p4,predsrc_ls050,seed0,2644,0.0703985880,0.0713661302
soft_all_r2_l0_p4,predsrc_ls050,seed1,2644,0.0631923215,0.0644679552
soft_all_r2_l0_p4,predsrc_ls050,seed2,2644,0.0654927094,0.0668046092
soft_all_r2_l0_p4,predsrc_ls050,seed70404,2644,0.0683710570,0.0694751110
soft_all_r2_l0_p4,predsrc_ls050,new2025,1516,0.0780181738,0.0797533421
soft_all_r2_l0_p4,predsrc_ls050,shared2025,1508,0.0504203485,0.0513951813
soft_all_r2_l0_p4,predsrc_ls050,near,6890,0.0646788862,0.0662006592
soft_all_r2_l0_p4,predsrc_ls050,mid,1711,0.0718752168,0.0729940242
