seed,policy,alpha_history,alpha_shared25,alpha_new25,n,rmse,baseline_rmse,delta,wins
70404,h0.15_s0.15_n0.05,0.15,0.15,0.05,2644,0.06793595993757347,0.06827732548220211,-0.000341365544628644,1
70404,h0.15_s0.15_n0.10,0.15,0.15,0.1,2644,0.06790749803093338,0.06827732548220211,-0.00036982745126873384,1
70404,h0.15_s0.15_n0.15,0.15,0.15,0.15,2644,0.06788604502969922,0.06827732548220211,-0.0003912804525028901,1
70404,h0.15_s0.20_n0.05,0.15,0.2,0.05,2644,0.0679414864598045,0.06827732548220211,-0.000335839022397616,1
70404,h0.15_s0.20_n0.10,0.15,0.2,0.1,2644,0.06791302686929387,0.06827732548220211,-0.00036429861290823706,1
70404,h0.15_s0.20_n0.15,0.15,0.2,0.15,2644,0.06789157561511266,0.06827732548220211,-0.0003857498670894466,1
70404,h0.20_s0.10_n0.05,0.2,0.1,0.05,2644,0.06794477037154635,0.06827732548220211,-0.0003325551106557606,1
70404,h0.20_s0.10_n0.10,0.2,0.1,0.1,2644,0.06791631215712318,0.06827732548220211,-0.00036101332507892936,1
70404,h0.20_s0.10_n0.15,0.2,0.1,0.15,2644,0.0678948619409225,0.06827732548220211,-0.0003824635412796179,1
70404,h0.20_s0.15_n0.05,0.2,0.15,0.05,2644,0.06794418854151883,0.06827732548220211,-0.00033313694068327904,1
70404,h0.20_s0.15_n0.10,0.2,0.15,0.1,2644,0.06791573008329584,0.06827732548220211,-0.00036159539890627534,1
70404,h0.20_s0.15_n0.15,0.2,0.15,0.15,2644,0.06789427968319735,0.06827732548220211,-0.00038304579900476365,1
70404,h0.20_s0.20_n0.05,0.2,0.2,0.05,2644,0.06794971439449668,0.06827732548220211,-0.0003276110877054317,1
70404,h0.20_s0.20_n0.10,0.2,0.2,0.1,2644,0.06792125825156145,0.06827732548220211,-0.0003560672306406609,1
70404,h0.20_s0.20_n0.15,0.2,0.2,0.15,2644,0.06789980959788056,0.06827732548220211,-0.00037751588432155536,1
