group,label,weight_archive,n,rmse,mae
year,2017,0.5000000000,420,0.0555953787,0.0395503052
year,2018,0.0000000000,366,0.0573375539,0.0392333966
year,2018,0.0200000000,366,0.0573155609,0.0392205296
year,2018,0.0400000000,366,0.0572957978,0.0392076625
year,2018,0.0600000000,366,0.0572782670,0.0391955688
year,2018,0.0800000000,366,0.0572629705,0.0391848895
year,2018,0.1000000000,366,0.0572499100,0.0391742102
year,2018,0.1200000000,366,0.0572390872,0.0391635309
year,2018,0.1400000000,366,0.0572305032,0.0391559001
year,2018,0.1600000000,366,0.0572241592,0.0391507018
year,2018,0.1800000000,366,0.0572200557,0.0391464569
year,2018,0.2000000000,366,0.0572181934,0.0391427426
year,2018,0.2200000000,366,0.0572185724,0.0391423914
year,2018,0.2400000000,366,0.0572211927,0.0391422648
year,2018,0.2600000000,366,0.0572260540,0.0391421382
year,2018,0.2800000000,366,0.0572331558,0.0391420116
year,2018,0.3000000000,366,0.0572424970,0.0391438721
year,2018,0.3200000000,366,0.0572540768,0.0391459688
year,2018,0.3400000000,366,0.0572678937,0.0391480655
year,2018,0.3600000000,366,0.0572839461,0.0391550435
year,2018,0.3800000000,366,0.0573022321,0.0391657295
year,2018,0.4000000000,366,0.0573227497,0.0391772372
year,2018,0.4200000000,366,0.0573454963,0.0391938062
year,2018,0.4400000000,366,0.0573704693,0.0392113423
year,2018,0.4600000000,366,0.0573976659,0.0392298734
year,2018,0.4800000000,366,0.0574270829,0.0392509229
year,2018,0.5000000000,366,0.0574587168,0.0392735094
year,2019,0.0000000000,555,0.0766089415,0.0479745524
year,2019,0.0200000000,555,0.0766214813,0.0479667492
year,2019,0.0400000000,555,0.0766362894,0.0479603635
year,2019,0.0600000000,555,0.0766533643,0.0479543460
year,2019,0.0800000000,555,0.0766727047,0.0479494889
year,2019,0.1000000000,555,0.0766943088,0.0479482430
year,2019,0.1200000000,555,0.0767181747,0.0479477010
year,2019,0.1400000000,555,0.0767443003,0.0479500178
year,2019,0.1600000000,555,0.0767726832,0.0479546523
year,2019,0.1800000000,555,0.0768033210,0.0479625710
year,2019,0.2000000000,555,0.0768362110,0.0479716108
year,2019,0.2200000000,555,0.0768713502,0.0479812706
year,2019,0.2400000000,555,0.0769087356,0.0479910607
year,2019,0.2600000000,555,0.0769483640,0.0480012145
year,2019,0.2800000000,555,0.0769902318,0.0480139136
year,2019,0.3000000000,555,0.0770343354,0.0480315569
year,2019,0.3200000000,555,0.0770806710,0.0480552309
year,2019,0.3400000000,555,0.0771292346,0.0480842168
year,2019,0.3600000000,555,0.0771800218,0.0481149272
year,2019,0.3800000000,555,0.0772330285,0.0481480235
year,2019,0.4000000000,555,0.0772882499,0.0481886302
year,2019,0.4200000000,555,0.0773456813,0.0482373903
year,2019,0.4400000000,555,0.0774053179,0.0482884474
year,2019,0.4600000000,555,0.0774671545,0.0483448178
year,2019,0.4800000000,555,0.0775311859,0.0484042242
year,2019,0.5000000000,555,0.0775974066,0.0484683971
year,2020,0.0000000000,570,0.0667291637,0.0401027395
year,2020,0.0200000000,570,0.0667452330,0.0401041279
year,2020,0.0400000000,570,0.0667629006,0.0401075471
year,2020,0.0600000000,570,0.0667821653,0.0401153814
year,2020,0.0800000000,570,0.0668030256,0.0401244872
year,2020,0.1000000000,570,0.0668254800,0.0401348014
year,2020,0.1200000000,570,0.0668495270,0.0401454399
year,2020,0.1400000000,570,0.0668751648,0.0401580762
year,2020,0.1600000000,570,0.0669023917,0.0401735059
year,2020,0.1800000000,570,0.0669312056,0.0401947942
year,2020,0.2000000000,570,0.0669616045,0.0402186977
year,2020,0.2200000000,570,0.0669935862,0.0402461037
year,2020,0.2400000000,570,0.0670271486,0.0402761497
