seed,radius,crop,method,pred,n,rmse,coverage
0,4,0,median,blend0.05,2644,0.07178052381186761,0.9965960665658093
0,4,0,median,blend0.08,2644,0.07257466385771263,0.9965960665658093
0,4,0,median,blend0.1,2644,0.07332423535736236,0.9965960665658093
0,4,0,median,blend0.15,2644,0.07592841506977117,0.9965960665658093
0,4,0,median,blend0.2,2644,0.0794889034488642,0.9965960665658093
0,4,0,median,blend0.3,2644,0.08899017575655808,0.9965960665658093
0,4,0,median,blend0.4,2644,0.10088974338247962,0.9965960665658093
0,4,0,mean,mix,2644,0.18220034575920754,0.9965960665658093
0,4,0,mean,blend0.01,2644,0.07135290902933492,0.9965960665658093
0,4,0,mean,blend0.02,2644,0.071380132915254,0.9965960665658093
0,4,0,mean,blend0.03,2644,0.07144775561942084,0.9965960665658093
0,4,0,mean,blend0.05,2644,0.07170367200615256,0.9965960665658093
0,4,0,mean,blend0.08,2644,0.07238552150363932,0.9965960665658093
0,4,0,mean,blend0.1,2644,0.07303441051648854,0.9965960665658093
0,4,0,mean,blend0.15,2644,0.07530571133636102,0.9965960665658093
0,4,0,mean,blend0.2,2644,0.0784359082328941,0.9965960665658093
0,4,0,mean,blend0.3,2644,0.08687706418488239,0.9965960665658093
0,4,0,mean,blend0.4,2644,0.0975721418371378,0.9965960665658093
0,4,0,mean,hard,2644,0.1853769466441946,0.9965960665658093
0,4,0,mean,blend0.01,2644,0.07135216624908441,0.9965960665658093
0,4,0,mean,blend0.02,2644,0.07138030964183817,0.9965960665658093
0,4,0,mean,blend0.03,2644,0.07145051061597305,0.9965960665658093
0,4,0,mean,blend0.05,2644,0.07171651729199513,0.9965960665658093
0,4,0,mean,blend0.08,2644,0.07242553472180357,0.9965960665658093
0,4,0,mean,blend0.1,2644,0.07310020746111189,0.9965960665658093
0,4,0,mean,blend0.15,2644,0.07546038016067648,0.9965960665658093
0,4,0,mean,blend0.2,2644,0.07870924203612745,0.9965960665658093
0,4,0,mean,blend0.3,2644,0.08745077410767967,0.9965960665658093
0,4,0,mean,blend0.4,2644,0.0984942620727206,0.9965960665658093
0,8,1,median,mix,2644,0.18502820395326325,0.9950832072617246
0,8,1,median,blend0.01,2644,0.07137418538614365,0.9950832072617246
0,8,1,median,blend0.02,2644,0.07142363245959737,0.9950832072617246
0,8,1,median,blend0.03,2644,0.07151438555608434,0.9950832072617246
0,8,1,median,blend0.05,2644,0.07181911220283423,0.9950832072617246
0,8,1,median,blend0.08,2644,0.07257985039565847,0.9950832072617246
0,8,1,median,blend0.1,2644,0.07328453830871137,0.9950832072617246
0,8,1,median,blend0.15,2644,0.07570363644801492,0.9950832072617246
0,8,1,median,blend0.2,2644,0.07898883418939649,0.9950832072617246
0,8,1,median,blend0.3,2644,0.08774372714523299,0.9950832072617246
