seed,config,weight,n,peer_n,coverage,rmse,base_rmse,delta_rmse
70404,n12_c60_r100_k1,0.0200000000,2644,1777,0.6720877458,0.0670816039,0.0671352518,-0.0000536479
70404,n16_c80_r100_k1,0.1500000000,2644,1427,0.5397125567,0.0670816466,0.0671352518,-0.0000536053
70404,n16_c80_r100_k2,0.0200000000,2644,1427,0.5397125567,0.0670818293,0.0671352518,-0.0000534225
70404,n8_c40_r100_k2,0.0500000000,2644,1954,0.7390317700,0.0670819304,0.0671352518,-0.0000533214
70404,n16_c60_r125_k2,0.0200000000,2644,1825,0.6902420575,0.0670821142,0.0671352518,-0.0000531376
70404,n12_c80_r100_k3,0.0200000000,2644,1532,0.5794251135,0.0670825391,0.0671352518,-0.0000527128
70404,n12_c60_r100_k2,0.0200000000,2644,1777,0.6720877458,0.0670828143,0.0671352518,-0.0000524375
70404,n16_c60_r060_k1,0.0800000000,2644,840,0.3177004539,0.0670828729,0.0671352518,-0.0000523789
70404,n16_c40_r080_k1,0.0800000000,2644,1361,0.5147503782,0.0670830992,0.0671352518,-0.0000521526
70404,n8_c60_r100_k2,0.0200000000,2644,1861,0.7038577912,0.0670832508,0.0671352518,-0.0000520010
70404,n12_c80_r100_k1,0.0200000000,2644,1532,0.5794251135,0.0670833312,0.0671352518,-0.0000519206
70404,n12_c60_r125_k1,0.0300000000,2644,1980,0.7488653555,0.0670836241,0.0671352518,-0.0000516277
70404,n16_c60_r125_k3,0.0200000000,2644,1825,0.6902420575,0.0670836265,0.0671352518,-0.0000516253
70404,n12_c60_r125_k1,0.0500000000,2644,1980,0.7488653555,0.0670838075,0.0671352518,-0.0000514443
70404,n8_c80_r125_k3,0.0300000000,2644,1773,0.6705748865,0.0670840730,0.0671352518,-0.0000511788
70404,n16_c40_r125_k2,0.0300000000,2644,1960,0.7413010590,0.0670841244,0.0671352518,-0.0000511274
70404,n8_c80_r125_k2,0.0300000000,2644,1773,0.6705748865,0.0670842769,0.0671352518,-0.0000509749
70404,n16_c60_r100_k3,0.0200000000,2644,1639,0.6198940998,0.0670844655,0.0671352518,-0.0000507863
70404,n12_c80_r125_k2,0.0800000000,2644,1687,0.6380484115,0.0670847130,0.0671352518,-0.0000505388
70404,n16_c60_r060_k1,0.1000000000,2644,840,0.3177004539,0.0670848452,0.0671352518,-0.0000504066
70404,n16_c80_r100_k3,0.0200000000,2644,1427,0.5397125567,0.0670849600,0.0671352518,-0.0000502918
70404,n8_c60_r100_k1,0.0800000000,2644,1861,0.7038577912,0.0670850675,0.0671352518,-0.0000501843
70404,n16_c60_r080_k3,0.0500000000,2644,1287,0.4867624811,0.0670851725,0.0671352518,-0.0000500793
70404,n16_c80_r125_k3,0.0200000000,2644,1563,0.5911497731,0.0670855962,0.0671352518,-0.0000496556
70404,n16_c40_r080_k2,0.0500000000,2644,1361,0.5147503782,0.0670856365,0.0671352518,-0.0000496153
70404,n12_c60_r100_k3,0.0200000000,2644,1777,0.6720877458,0.0670857538,0.0671352518,-0.0000494980
70404,n16_c80_r125_k2,0.0200000000,2644,1563,0.5911497731,0.0670863701,0.0671352518,-0.0000488817
70404,n16_c40_r125_k3,0.0500000000,2644,1960,0.7413010590,0.0670865561,0.0671352518,-0.0000486958
70404,n8_c40_r100_k2,0.0300000000,2644,1954,0.7390317700,0.0670869718,0.0671352518,-0.0000482800
70404,n8_c60_r100_k1,0.0200000000,2644,1861,0.7038577912,0.0670870904,0.0671352518,-0.0000481614
70404,n12_c40_r100_k3,0.0300000000,2644,1867,0.7061270802,0.0670871520,0.0671352518,-0.0000480998
70404,n16_c60_r080_k2,0.1000000000,2644,1287,0.4867624811,0.0670873518,0.0671352518,-0.0000479000
70404,n16_c40_r100_k2,0.0200000000,2644,1735,0.6562027231,0.0670878921,0.0671352518,-0.0000473597
70404,n16_c60_r080_k3,0.0800000000,2644,1287,0.4867624811,0.0670879091,0.0671352518,-0.0000473427
70404,n12_c80_r080_k1,0.0300000000,2644,1256,0.4750378215,0.0670880439,0.0671352518,-0.0000472079
70404,n16_c80_r100_k2,0.1500000000,2644,1427,0.5397125567,0.0670881585,0.0671352518,-0.0000470933
70404,n16_c80_r080_k1,0.0200000000,2644,1168,0.4417549168,0.0670882213,0.0671352518,-0.0000470305
70404,n8_c60_r100_k3,0.0200000000,2644,1861,0.7038577912,0.0670883226,0.0671352518,-0.0000469292
70404,n16_c80_r060_k1,0.0800000000,2644,795,0.3006807867,0.0670885160,0.0671352518,-0.0000467358
70404,n8_c80_r080_k3,0.0200000000,2644,1307,0.4943267776,0.0670894445,0.0671352518,-0.0000458073
70404,n16_c40_r080_k1,0.0300000000,2644,1361,0.5147503782,0.0670900076,0.0671352518,-0.0000452442
70404,n8_c80_r080_k2,0.0200000000,2644,1307,0.4943267776,0.0670903165,0.0671352518,-0.0000449353
