seed,route,policy,alpha,n,rmse,rmse_base
2,vote_r2_r4,fixed,0.4000000000,2644,0.0656632607,0.0668046092
2,vote_r2_r4,fixed,0.5000000000,2644,0.0656872931,0.0668046092
2,vote_r2_r4,fixed,0.6000000000,2644,0.0658358490,0.0668046092
2,vote_r2_r4,cohort_year_dist,,2644,0.0656055142,0.0668046092
70404,post_mode,fixed,0.2000000000,2644,0.0691759163,0.0694751110
70404,post_mode,fixed,0.3000000000,2644,0.0691807730,0.0694751110
70404,post_mode,fixed,0.4000000000,2644,0.0692887233,0.0694751110
70404,post_mode,fixed,0.5000000000,2644,0.0694992867,0.0694751110
70404,post_mode,fixed,0.6000000000,2644,0.0698115347,0.0694751110
70404,post_mode,cohort_year_dist,,2644,0.0694743458,0.0694751110
70404,fixed_r1,fixed,0.2000000000,2644,0.0687441284,0.0694751110
70404,fixed_r1,fixed,0.3000000000,2644,0.0685556461,0.0694751110
70404,fixed_r1,fixed,0.4000000000,2644,0.0684866723,0.0694751110
70404,fixed_r1,fixed,0.5000000000,2644,0.0685375676,0.0694751110
70404,fixed_r1,fixed,0.6000000000,2644,0.0687080657,0.0694751110
70404,fixed_r1,cohort_year_dist,,2644,0.0684194678,0.0694751110
70404,fixed_r2,fixed,0.2000000000,2644,0.0687196203,0.0694751110
70404,fixed_r2,fixed,0.3000000000,2644,0.0685228201,0.0694751110
70404,fixed_r2,fixed,0.4000000000,2644,0.0684482500,0.0694751110
70404,fixed_r2,fixed,0.5000000000,2644,0.0684963092,0.0694751110
70404,fixed_r2,fixed,0.6000000000,2644,0.0686667402,0.0694751110
70404,fixed_r2,cohort_year_dist,,2644,0.0683530185,0.0694751110
70404,fixed_r3,fixed,0.2000000000,2644,0.0688662695,0.0694751110
70404,fixed_r3,fixed,0.3000000000,2644,0.0687421902,0.0694751110
70404,fixed_r3,fixed,0.4000000000,2644,0.0687394168,0.0694751110
70404,fixed_r3,fixed,0.5000000000,2644,0.0688579641,0.0694751110
70404,fixed_r3,fixed,0.6000000000,2644,0.0690972076,0.0694751110
70404,fixed_r3,cohort_year_dist,,2644,0.0687673015,0.0694751110
70404,fixed_r4,fixed,0.2000000000,2644,0.0688884633,0.0694751110
70404,fixed_r4,fixed,0.3000000000,2644,0.0687755080,0.0694751110
70404,fixed_r4,fixed,0.4000000000,2644,0.0687837984,0.0694751110
70404,fixed_r4,fixed,0.5000000000,2644,0.0689132908,0.0694751110
70404,fixed_r4,fixed,0.6000000000,2644,0.0691633045,0.0694751110
70404,fixed_r4,cohort_year_dist,,2644,0.0688155988,0.0694751110
70404,fixed_r5,fixed,0.2000000000,2644,0.0688096520,0.0694751110
70404,fixed_r5,fixed,0.3000000000,2644,0.0686575037,0.0694751110
70404,fixed_r5,fixed,0.4000000000,2644,0.0686270217,0.0694751110
70404,fixed_r5,fixed,0.5000000000,2644,0.0687183678,0.0694751110
70404,fixed_r5,fixed,0.6000000000,2644,0.0689310577,0.0694751110
70404,fixed_r5,cohort_year_dist,,2644,0.0685760181,0.0694751110
70404,fixed_r6,fixed,0.2000000000,2644,0.0688161332,0.0694751110
70404,fixed_r6,fixed,0.3000000000,2644,0.0686681996,0.0694751110
70404,fixed_r6,fixed,0.4000000000,2644,0.0686425598,0.0694751110
70404,fixed_r6,fixed,0.5000000000,2644,0.0687393506,0.0694751110
70404,fixed_r6,fixed,0.6000000000,2644,0.0689580564,0.0694751110
70404,fixed_r6,cohort_year_dist,,2644,0.0686071049,0.0694751110
70404,fixed_r8,fixed,0.2000000000,2644,0.0687947900,0.0694751110
