dataset,partition,lag_weight,mode,n,rmse,baseline_rmse,delta_rmse,coverage,map_global
random,random_0,0.350000000,source_oracle,2644,0.072439588,0.072665418,-0.000225830,0.695537065,0.001993596
random,random_0,0.350000000,source_soft,2644,0.072684408,0.072665418,0.000018990,0.695537065,0.001993596
random,random_0,0.350000000,source_mode,2644,0.072731050,0.072665418,0.000065632,0.695537065,0.001993596
random,random_0,0.350000000,source_doy_soft,2644,0.072643178,0.072665418,-0.000022240,0.695537065,0.001993596
random,random_0,0.350000000,source_doy_mode,2644,0.072643178,0.072665418,-0.000022240,0.695537065,0.001993596
random,random_0,0.400000000,none,2644,0.072811838,0.072811838,0.000000000,0.695537065,0.000000000
random,random_0,0.400000000,global,2644,0.072792105,0.072811838,-0.000019732,0.695537065,0.001976948
random,random_0,0.400000000,doy,2644,0.072803918,0.072811838,-0.000007920,0.695537065,0.001976948
random,random_0,0.400000000,source_oracle,2644,0.072587746,0.072811838,-0.000224092,0.695537065,0.001976948
random,random_0,0.400000000,source_soft,2644,0.072833872,0.072811838,0.000022034,0.695537065,0.001976948
random,random_0,0.400000000,source_mode,2644,0.072879646,0.072811838,0.000067808,0.695537065,0.001976948
random,random_0,0.400000000,source_doy_soft,2644,0.072792105,0.072811838,-0.000019732,0.695537065,0.001976948
random,random_0,0.400000000,source_doy_mode,2644,0.072792105,0.072811838,-0.000019732,0.695537065,0.001976948
random,random_1,0.300000000,none,2644,0.065546625,0.065546625,0.000000000,0.692133132,0.000000000
random,random_1,0.300000000,global,2644,0.065595578,0.065546625,0.000048953,0.692133132,0.002236118
random,random_1,0.300000000,doy,2644,0.065581134,0.065546625,0.000034509,0.692133132,0.002236118
random,random_1,0.300000000,source_oracle,2644,0.065351257,0.065546625,-0.000195368,0.692133132,0.002236118
random,random_1,0.300000000,source_soft,2644,0.065632752,0.065546625,0.000086127,0.692133132,0.002236118
random,random_1,0.300000000,source_mode,2644,0.065665822,0.065546625,0.000119197,0.692133132,0.002236118
random,random_1,0.300000000,source_doy_soft,2644,0.065596582,0.065546625,0.000049957,0.692133132,0.002236118
random,random_1,0.300000000,source_doy_mode,2644,0.065596672,0.065546625,0.000050047,0.692133132,0.002236118
random,random_1,0.325000000,none,2644,0.065589088,0.065589088,0.000000000,0.692133132,0.000000000
random,random_1,0.325000000,global,2644,0.065633867,0.065589088,0.000044779,0.692133132,0.002121843
random,random_1,0.325000000,doy,2644,0.065619085,0.065589088,0.000029997,0.692133132,0.002121843
random,random_1,0.325000000,source_oracle,2644,0.065396591,0.065589088,-0.000192498,0.692133132,0.002121843
random,random_1,0.325000000,source_soft,2644,0.065672066,0.065589088,0.000082977,0.692133132,0.002121843
random,random_1,0.325000000,source_mode,2644,0.065703761,0.065589088,0.000114673,0.692133132,0.002121843
random,random_1,0.325000000,source_doy_soft,2644,0.065634980,0.065589088,0.000045892,0.692133132,0.002121843
random,random_1,0.325000000,source_doy_mode,2644,0.065635080,0.065589088,0.000045992,0.692133132,0.002121843
random,random_1,0.350000000,none,2644,0.065624984,0.065624984,0.000000000,0.692133132,0.000000000
random,random_1,0.350000000,global,2644,0.065668979,0.065624984,0.000043995,0.692133132,0.002234875
random,random_1,0.350000000,doy,2644,0.065653540,0.065624984,0.000028556,0.692133132,0.002234875
random,random_1,0.350000000,source_oracle,2644,0.065449068,0.065624984,-0.000175916,0.692133132,0.002234875
random,random_1,0.350000000,source_soft,2644,0.065710392,0.065624984,0.000085407,0.692133132,0.002234875
