mode,mask_seed,method,weight,cohort,n,rmse,mae,bias
2025,0,hgb_seed42+lag_k16_d3,1.0,all,756,0.05828310888531229,0.03868317158701904,-0.0022894932678699763
2025,0,hgb_seed42+base_k6,0.0,all,756,0.05451510216322277,0.03500901622501005,-0.0019305775738329518
2025,0,hgb_seed42+base_k6,0.05,all,756,0.05435627661742186,0.03493489068103567,-0.001994411475280403
2025,0,hgb_seed42+base_k6,0.1,all,756,0.054243610922727024,0.03491322051575199,-0.0020582453767278154
2025,0,hgb_seed42+base_k6,0.15,all,756,0.054177393057862636,0.03493845837815252,-0.002122079278175259
2025,0,hgb_seed42+base_k6,0.2,all,756,0.054157793396145085,0.035001982547536656,-0.0021859131796226772
2025,0,hgb_seed42+base_k6,0.25,all,756,0.054184862525583403,0.03509883300146601,-0.002249747081070135
2025,0,hgb_seed42+base_k6,0.3,all,756,0.05425853059820779,0.03524226230723995,-0.002313580982517571
2025,0,hgb_seed42+base_k6,0.35,all,756,0.05437860822805576,0.03540281087445285,-0.0023774148839650257
2025,0,hgb_seed42+base_k6,0.4,all,756,0.05454478891101823,0.03558226775551633,-0.002441248785412443
2025,0,hgb_seed42+base_k6,0.45,all,756,0.05475665289495098,0.035783502196720635,-0.002505082686859862
2025,0,hgb_seed42+base_k6,0.5,all,756,0.0550136723874365,0.036011132790415075,-0.0025689165883073157
2025,0,hgb_seed42+base_k6,0.55,all,756,0.05531521795337776,0.036265019880722775,-0.0026327504897547555
2025,0,hgb_seed42+base_k6,0.6,all,756,0.055660565926790743,0.036540777023260834,-0.0026965843912021897
2025,0,hgb_seed42+base_k6,0.65,all,756,0.05604890664174455,0.03683717783070724,-0.0027604182926496278
2025,0,hgb_seed42+base_k6,0.7,all,756,0.05647935327677553,0.037148526437391235,-0.002824252194097064
2025,0,hgb_seed42+base_k6,0.75,all,756,0.056950951105087584,0.03748339495427815,-0.0028880860955445013
2025,0,hgb_seed42+base_k6,0.8,all,756,0.05746268694873902,0.03786252209164255,-0.0029519199969919373
2025,0,hgb_seed42+base_k6,0.85,all,756,0.058013498647702055,0.03827996872770799,-0.0030157538984393723
2025,0,hgb_seed42+base_k6,0.9,all,756,0.05860228437278293,0.03871943338307668,-0.0030795877998868113
2025,0,hgb_seed42+base_k6,0.95,all,756,0.05922791163339756,0.03919390295162556,-0.0031434217013342476
2025,0,hgb_seed42+base_k6,1.0,all,756,0.05988922585559129,0.03970485283862908,-0.003207255602781683
2025,0,hgb_seed_mean_clip,-0.2:1.1,all,756,0.054687231466628114,0.03518914290136333,-0.0024970902178110426
2025,0,hgb_seed_mean_clip,-0.1:1.0,all,756,0.054687231466628114,0.03518914290136333,-0.0024970902178110426
2025,0,hgb_seed_mean_clip,0.0:1.0,all,756,0.054687231466628114,0.03518914290136333,-0.0024970902178110426
2025,0,hgb_seed_mean_clip,-0.05:0.95,all,756,0.054687231466628114,0.03518914290136333,-0.0024970902178110426
2025,0,lag_k16_d3_clip,-0.2:1.1,all,756,0.05828310888531229,0.03868317158701904,-0.0022894932678699763
2025,0,lag_k16_d3_clip,-0.1:1.0,all,756,0.05828310888531229,0.03868317158701904,-0.0022894932678699763
2025,0,lag_k16_d3_clip,0.0:1.0,all,756,0.05828310888531229,0.03868317158701904,-0.0022894932678699763
2025,0,lag_k16_d3_clip,-0.05:0.95,all,756,0.05828310888531229,0.03868317158701904,-0.0022894932678699763
2025,0,base_k6_clip,-0.2:1.1,all,756,0.05988922585559129,0.03970485283862908,-0.003207255602781683
2025,0,base_k6_clip,-0.1:1.0,all,756,0.05988922585559129,0.03970485283862908,-0.003207255602781683
2025,0,base_k6_clip,0.0:1.0,all,756,0.05988922585559129,0.03970485283862908,-0.003207255602781683
2025,0,base_k6_clip,-0.05:0.95,all,756,0.05988922585559129,0.03970485283862908,-0.003207255602781683
2025,0,hgb_seed_mean,,all,756,0.054687231466628114,0.03518914290136333,-0.0024970902178110426
2025,0,lag_k16_d3,,all,756,0.05828310888531229,0.03868317158701904,-0.0022894932678699763
2025,0,base_k6,,all,756,0.05988922585559129,0.03970485283862908,-0.003207255602781683
2025,0,blend_hgb80_lag20,,all,756,0.053924913524637665,0.03476183250341118,-0.002455570827822808
2025,0,hgb_seed_mean,,year_2025,756,0.054687231466628114,0.03518914290136333,-0.0024970902178110426
2025,0,lag_k16_d3,,year_2025,756,0.05828310888531229,0.03868317158701904,-0.0022894932678699763
2025,0,base_k6,,year_2025,756,0.05988922585559129,0.03970485283862908,-0.003207255602781683
2025,0,blend_hgb80_lag20,,year_2025,756,0.053924913524637665,0.03476183250341118,-0.002455570827822808
2025,0,hgb_seed_mean,,shared_2025,377,0.05481365297091722,0.03515627531091077,-0.002866386966398204
2025,0,lag_k16_d3,,shared_2025,377,0.05702658139299678,0.038409966946898216,-0.003616813567156527
2025,0,base_k6,,shared_2025,377,0.057850705881026074,0.038916436449284005,-0.0058117407452680315
