protocol,partition,candidate,n,rmse,mae
exact_hidden_doy,exact2021,factor_z_w0.325,130,0.08165304588074121,0.060061939106701136
exact_hidden_doy,exact2021,factor_z_w0.350,130,0.08253526097810647,0.06062738879332043
exact_hidden_doy,exact2021,factor_z_w0.375,130,0.08348578727201504,0.0612837426444291
exact_hidden_doy,exact2021,factor_z_w0.400,130,0.08450231959369185,0.06202482229399388
exact_hidden_doy,exact2021,factor_z_w0.425,130,0.08558250595526527,0.06280394027673547
exact_hidden_doy,exact2021,factor_z_w0.450,130,0.08672396786952195,0.06367444374668052
exact_hidden_doy,exact2021,factor_z_w0.475,130,0.08792431887178329,0.06462799223487102
exact_hidden_doy,exact2021,factor_z_w0.500,130,0.08918118110724067,0.06565976509045568
exact_hidden_doy,exact2021,factor_robust_w0.000,130,0.07722274795685638,0.056872823530196855
exact_hidden_doy,exact2021,factor_robust_w0.025,130,0.07763636072763079,0.05827655861323833
exact_hidden_doy,exact2021,factor_robust_w0.050,130,0.07967138031243222,0.060608680377385774
exact_hidden_doy,exact2021,factor_robust_w0.075,130,0.08320892862896603,0.06360902056623319
exact_hidden_doy,exact2021,factor_robust_w0.100,130,0.08806812928129712,0.06798688000935213
exact_hidden_doy,exact2021,factor_robust_w0.125,130,0.09404433856149408,0.07301528514124907
exact_hidden_doy,exact2021,factor_robust_w0.150,130,0.10093935042720123,0.0791290522035014
exact_hidden_doy,exact2021,factor_robust_w0.175,130,0.10857826643806988,0.0860646494743779
exact_hidden_doy,exact2021,factor_robust_w0.200,130,0.11681523894407955,0.09321934911599647
exact_hidden_doy,exact2021,factor_robust_w0.225,130,0.12553259650490411,0.10105140470849867
exact_hidden_doy,exact2021,factor_robust_w0.250,130,0.13463706083318397,0.1094408599112839
exact_hidden_doy,exact2021,factor_robust_w0.275,130,0.1440552537853745,0.11817578894745245
exact_hidden_doy,exact2021,factor_robust_w0.300,130,0.1537295247028806,0.12696613689702999
exact_hidden_doy,exact2021,factor_robust_w0.325,130,0.16361445540175612,0.13611658786318434
exact_hidden_doy,exact2021,factor_robust_w0.350,130,0.17367407951760588,0.14566942425607668
exact_hidden_doy,exact2021,factor_robust_w0.375,130,0.18387972809691897,0.1553913876255522
exact_hidden_doy,exact2021,factor_robust_w0.400,130,0.19420838175151142,0.1652798219786947
exact_hidden_doy,exact2021,factor_robust_w0.425,130,0.20464141640664893,0.1751682563318372
exact_hidden_doy,exact2021,factor_robust_w0.450,130,0.21516364865871954,0.18508985056754354
exact_hidden_doy,exact2021,factor_robust_w0.475,130,0.22576260701936696,0.1952200710485435
exact_hidden_doy,exact2021,factor_robust_w0.500,130,0.23642797292423762,0.2054410503880525
exact_hidden_doy,exact2021,factor_peer_w0.000,130,0.07722274795685638,0.056872823530196855
exact_hidden_doy,exact2021,factor_peer_w0.025,130,0.07719977845008902,0.057000274329860684
exact_hidden_doy,exact2021,factor_peer_w0.050,130,0.07725355366359632,0.05716149300256025
exact_hidden_doy,exact2021,factor_peer_w0.075,130,0.07738391360445748,0.05739072670130356
exact_hidden_doy,exact2021,factor_peer_w0.100,130,0.07759047226307356,0.057685214257490826
exact_hidden_doy,exact2021,factor_peer_w0.125,130,0.07787262328603098,0.058047202908997945
exact_hidden_doy,exact2021,factor_peer_w0.150,130,0.07822954875918732,0.05842676929587035
exact_hidden_doy,exact2021,factor_peer_w0.175,130,0.07866023080859029,0.05886283620965306
