group,model,cap,cohort,n,rmse,baseline_rmse,delta_rmse
group_aoiyear,hgb16,0.06,history,3402,0.06596750878412523,0.06642257497532737,-0.0004550661912021414
group_aoiyear,hgb16,0.06,2025,1412,0.10186167097803049,0.10131168943801397,0.0005499815400165226
group_aoiyear,hgb16,0.06,new,4025,0.08138121427410325,0.08150395229491074,-0.00012273802080749185
group_aoiyear,hgb16,0.06,shared,789,0.05955021396292641,0.05919489273644048,0.0003553212264859329
group_aoiyear,hgb16,0.06,new_history,3402,0.06596750878412523,0.06642257497532737,-0.0004550661912021414
group_aoiyear,hgb16,0.06,new_2025,623,0.13793161204583435,0.13720534816020127,0.0007262638856330716
group_aoiyear,hgb16,0.06,shared_2025,789,0.05955021396292641,0.05919489273644048,0.0003553212264859329
group_aoiyear,hgb16,0.08,all,4814,0.0782217648121546,0.07828438403249433,-6.261922033971856e-05
group_aoiyear,hgb16,0.08,history,3402,0.06596750878412523,0.06642257497532737,-0.0004550661912021414
group_aoiyear,hgb16,0.08,2025,1412,0.10186167097803049,0.10131168943801397,0.0005499815400165226
group_aoiyear,hgb16,0.08,new,4025,0.08138121427410325,0.08150395229491074,-0.00012273802080749185
group_aoiyear,hgb16,0.08,shared,789,0.05955021396292641,0.05919489273644048,0.0003553212264859329
group_aoiyear,hgb16,0.08,new_history,3402,0.06596750878412523,0.06642257497532737,-0.0004550661912021414
group_aoiyear,hgb16,0.08,new_2025,623,0.13793161204583435,0.13720534816020127,0.0007262638856330716
group_aoiyear,hgb16,0.08,shared_2025,789,0.05955021396292641,0.05919489273644048,0.0003553212264859329
