radius,method,policy,pred,pooled_rmse,min_seed_rmse,max_seed_rmse
4,median,override5525,route_plus_direct_0.01,0.06678294573426512,0.06306593483373776,0.07037083876563212
4,median,override5525,bucket_0.01_0.01,0.06678294573426512,0.06306593483373776,0.07037083876563212
1,median,override5525,bucket_0.005_0.01,0.06678311172225425,0.06307250379934491,0.07038398633453619
1,mean,override5525,bucket_0.005_0.01,0.06678311172225425,0.06307250379934491,0.07038398633453619
2,mean,dist503,bucket_0_0.005,0.06678314137998285,0.062984549323193,0.07040351082529427
4,median,dist503,bucket_0_0.03,0.0667831537613526,0.06300013028846915,0.07035184181288663
2,median,dist502,route_plus_direct_0.005,0.06678320476815292,0.062985983192047,0.07039659323114902
2,median,dist502,bucket_0.005_0.005,0.06678320476815292,0.062985983192047,0.07039659323114902
1,median,override5525,bucket_0_0.005,0.0667832696391875,0.0630491868103065,0.07038883931040141
1,mean,override5525,bucket_0_0.005,0.0667832696391875,0.0630491868103065,0.07038883931040141
4,mean,override6035,bucket_0.01_0,0.06678330683164282,0.06305106855836143,0.07039293913570224
1,median,override6035,bucket_0_0.02,0.06678361845045183,0.06307741777925861,0.070390890611279
1,mean,override6035,bucket_0_0.02,0.06678361845045183,0.06307741777925861,0.070390890611279
16,median,override6035,bucket_0.005_0,0.06678387459901819,0.0630420008798472,0.07040202377202225
8,mean,dist502,bucket_0_0.02,0.06678395529598248,0.06299708991506982,0.0703905235691255
2,mean,dist502,route_plus_direct_0.005,0.06678434017501246,0.062985910692813,0.07039704061508403
2,mean,dist502,bucket_0.005_0.005,0.06678434017501246,0.062985910692813,0.07039704061508403
2,median,override5525,bucket_0_0,0.06678440495548202,0.06304135616297606,0.07039211263637273
16,mean,override5525,route_plus_direct_0,0.06678440495548202,0.06304135616297606,0.07039211263637273
4,median,override5525,bucket_0_0,0.06678440495548202,0.06304135616297606,0.07039211263637273
1,median,override5525,bucket_0_0,0.06678440495548202,0.06304135616297606,0.07039211263637273
4,mean,override5525,bucket_0_0,0.06678440495548202,0.06304135616297606,0.07039211263637273
8,mean,override5525,bucket_0_0,0.06678440495548202,0.06304135616297606,0.07039211263637273
4,median,override5525,route_plus_direct_0,0.06678440495548202,0.06304135616297606,0.07039211263637273
1,mean,override5525,bucket_0_0,0.06678440495548202,0.06304135616297606,0.07039211263637273
16,mean,override5525,bucket_0_0,0.06678440495548202,0.06304135616297606,0.07039211263637273
1,median,override5525,route_plus_direct_0,0.06678440495548202,0.06304135616297606,0.07039211263637273
1,mean,override5525,route_plus_direct_0,0.06678440495548202,0.06304135616297606,0.07039211263637273
2,mean,override5525,bucket_0_0,0.06678440495548202,0.06304135616297606,0.07039211263637273
