year,bd,robust,base,alpha,n,rmse,mae,facn
2019,8,mean,lag,0.4,249,0.0663264010353937,0.047476944249821074,247
2019,8,mean,lag,0.5,249,0.06845463450047656,0.04963701767003814,247
2019,8,mean,lag,0.7,249,0.07438106815156588,0.055137321324305884,247
2019,8,mean,lag,1.0,249,0.08651208590153335,0.06639096407827731,247
2019,8,mean,lag,1.5,249,0.1120540307819958,0.08927443534736991,247
2019,8,mean,base,0.0,249,0.06504498648921714,0.04715896372924984,247
2019,8,mean,base,0.1,249,0.06407963349603964,0.045905507298409295,247
2019,8,mean,base,0.2,249,0.06381604047566568,0.04517551723832238,247
2019,8,mean,base,0.3,249,0.06426284343535962,0.04517919426400141,247
2019,8,mean,base,0.4,249,0.065405485260825,0.04600247871367993,247
2019,8,mean,base,0.5,249,0.06720848450464538,0.04760595868906783,247
2019,8,mean,base,0.7,249,0.0725809992906381,0.052600810918548464,247
2019,8,mean,base,1.0,249,0.08412235907567978,0.0639633663998057,247
2019,8,mean,base,1.5,249,0.10913121912872491,0.08638130198898221,247
2019,8,mean,hgb,0.0,249,0.057749371318698485,0.03972701940527716,247
2019,8,mean,hgb,0.1,249,0.058157113154844405,0.03982671764233902,247
2019,8,mean,hgb,0.2,249,0.059333364683848394,0.04071260454746329,247
2019,8,mean,hgb,0.3,249,0.06123385460926355,0.042329721876901094,247
2019,8,mean,hgb,0.4,249,0.06379388816580328,0.04467820423181483,247
2019,8,mean,hgb,0.5,249,0.06693783545734291,0.04790997543747463,247
2019,8,mean,hgb,0.7,249,0.0746693806504583,0.05536456703769964,247
2019,8,mean,hgb,1.0,249,0.08888092331170644,0.06856514027426722,247
2019,8,mean,hgb,1.5,249,0.11658655165492414,0.09318325244727502,247
2019,12,median,lag,0.0,249,0.06450731545469175,0.045785213056398634,247
2019,12,median,lag,0.1,249,0.06398201891486519,0.04465920296449392,247
2019,12,median,lag,0.2,249,0.0647323447092956,0.045471227089922996,247
2019,12,median,lag,0.3,249,0.06671526713274724,0.047318533981918105,247
2019,12,median,lag,0.4,249,0.06982585477825835,0.05051138807517021,247
2019,12,median,lag,0.5,249,0.07392189007543623,0.05445223755474677,247
2019,12,median,lag,0.7,249,0.08446452294079053,0.0640825141504297,247
2019,12,median,lag,1.0,249,0.10425696938202683,0.0811968668460698,247
2019,12,median,lag,1.5,249,0.14274593950221884,0.11283521029256169,247
2019,12,median,base,0.0,249,0.06504498648921714,0.04715896372924984,247
2019,12,median,base,0.1,249,0.06400418519988459,0.04566616231466999,247
2019,12,median,base,0.2,249,0.06423623501350041,0.04511557930041859,247
2019,12,median,base,0.3,249,0.06572765600725496,0.04619658864336838,247
2019,12,median,base,0.4,249,0.06839611355622678,0.048389537486888436,247
2019,12,median,base,0.5,249,0.07211105771568152,0.0519918413981208,247
2019,12,median,base,0.7,249,0.08207420645428173,0.061299663596943416,247
2019,12,median,base,1.0,249,0.10134582758857169,0.07807489695002841,247
2019,12,median,base,1.5,249,0.13944090734643433,0.10923445213873871,247
2019,12,median,hgb,0.0,249,0.057749371318698485,0.03972701940527716,247
2019,12,median,hgb,0.1,249,0.05853368255082964,0.040090814137386174,247
2019,12,median,hgb,0.2,249,0.060675092155739914,0.04208956294018837,247
2019,12,median,hgb,0.3,249,0.06403760093213685,0.04543384297205161,247
2019,12,median,hgb,0.4,249,0.06844146819048776,0.04944980291421459,247
2019,12,median,hgb,0.5,249,0.07370025449674734,0.05442105748572712,247
2019,12,median,hgb,0.7,249,0.08613321967850987,0.06563499983581984,247
2019,12,median,hgb,1.0,249,0.10784378927556273,0.08412677069478558,247
2019,12,median,hgb,1.5,249,0.1480900266897973,0.11684229650675403,247
2019,12,trimmean,lag,0.0,249,0.06450731545469175,0.045785213056398634,247
