year,subset,method,n,rmse
2022,period_modis,converted6,54,0.07966408997989471
2022,period_modis,converted8,54,0.07903279914522256
2022,period_modis,converted12,54,0.0777384442716196
2022,period_modis,converted16,54,0.07775547326888586
2023,all,prod,169,0.07616221867194352
2023,all,raw2,169,0.11029323423081049
2023,all,raw3,169,0.11514881458274329
2023,all,raw4,169,0.11914134611069786
2023,all,raw6,169,0.12812598895029342
2023,all,raw8,169,0.1342221066188396
2023,all,raw12,169,0.14234578120002891
2023,all,raw16,169,0.14292267724311697
2023,all,converted2,169,0.1107757616533648
2023,all,converted3,169,0.10736399792526473
2023,all,converted4,169,0.10731888299258781
2023,all,converted6,169,0.10495178294937017
2023,all,converted8,169,0.105746226768204
2023,all,converted12,169,0.10654353699852641
2023,all,converted16,169,0.10852238075667686
2023,period,prod,83,0.07507668405959916
2023,period,raw2,83,0.08579467507093338
2023,period,raw3,83,0.09081494739050018
2023,period,raw4,83,0.09377403245699367
2023,period,raw6,83,0.10279723247999413
2023,period,raw8,83,0.10862339494929976
2023,period,raw12,83,0.11517791563431497
2023,period,raw16,83,0.11517791563431497
2023,period,converted2,83,0.09566679423801726
2023,period,converted3,83,0.08698567305382061
2023,period,converted4,83,0.08701756882011387
2023,period,converted6,83,0.08260349440215048
2023,period,converted8,83,0.0831436082627418
2023,period,converted12,83,0.08252734376212653
2023,period,converted16,83,0.08316343954790303
2023,true_modis,prod,67,0.06065025527418941
2023,true_modis,raw2,67,0.06489042555274019
2023,true_modis,raw3,67,0.0667917023364195
2023,true_modis,raw4,67,0.07128181084003327
2023,true_modis,raw6,67,0.07639857820560376
2023,true_modis,raw8,67,0.08234044218641978
2023,true_modis,raw12,67,0.08974491046527072
2023,true_modis,raw16,67,0.08974491046527072
2023,true_modis,converted2,67,0.0849427640647973
2023,true_modis,converted3,67,0.07152766886531334
2023,true_modis,converted4,67,0.06838516644440765
2023,true_modis,converted6,67,0.06051715222221061
2023,true_modis,converted8,67,0.0602993870886654
2023,true_modis,converted12,67,0.058082970057935446
2023,true_modis,converted16,67,0.05662354628342851
2023,period_modis,prod,67,0.06065025527418941
2023,period_modis,raw2,67,0.06489042555274019
2023,period_modis,raw3,67,0.0667917023364195
2023,period_modis,raw4,67,0.07128181084003327
2023,period_modis,raw6,67,0.07639857820560376
2023,period_modis,raw8,67,0.08234044218641978
2023,period_modis,raw12,67,0.08974491046527072
2023,period_modis,raw16,67,0.08974491046527072
2023,period_modis,converted2,67,0.0849427640647973
2023,period_modis,converted3,67,0.07152766886531334
2023,period_modis,converted4,67,0.06838516644440765
