a,b,n,exact,temp_rmse,prec_rmse,temp_corr,prec_corr
AOI-0007,AOI-0011,3195,1.0,0.0,0.0,1.0,0.9999999999999999
AOI-0007,AOI-0015,3195,0.0,0.5784874496840947,1.801165300474343,0.9973682690153302,0.8393599608814015
AOI-0007,AOI-0019,3195,0.0,0.3705281279456997,1.1252623832837427,0.9991843379813784,0.9381491121186606
AOI-0007,AOI-0020,3195,0.0,0.3705281279456997,1.1252623832837427,0.9991843379813784,0.9381491121186606
AOI-0007,AOI-0021,3195,0.0,0.3705281279456997,1.1252623832837427,0.9991843379813784,0.9381491121186606
AOI-0007,AOI-0022,3195,0.0,0.3705281279456997,1.1252623832837427,0.9991843379813784,0.9381491121186606
AOI-0007,AOI-0023,3195,0.0,0.23798438649897444,0.7944302521516184,0.9995785156056378,0.9701610131815038
AOI-0007,AOI-0026,3195,0.0,0.7963613128752471,2.61724913074886,0.9939867736596678,0.6695162812544235
AOI-0007,AOI-0030,3195,0.0,0.7531430031766623,2.5074585860279766,0.994541614118897,0.6934714935527819
AOI-0007,AOI-0033,3195,0.0,1.0739406700108443,2.9598475880252058,0.9897739150139921,0.5313456834615093
AOI-0007,AOI-0037,3195,0.0,1.3254894747608956,3.0946506886919103,0.9850506283351599,0.47630302812284314
AOI-0007,AOI-0038,3195,0.0,1.4137410354752953,3.088438397127518,0.9833637091197361,0.47006716104318763
AOI-0007,AOI-0040,3195,0.0,1.3254894747608956,3.0946506886919103,0.9850506283351599,0.47630302812284314
AOI-0007,AOI-0043,3195,0.0,0.7578615619476866,2.0979957834802536,0.9947704843921967,0.7818862066040388
AOI-0007,AOI-0045,3195,0.0,0.7819776160039476,2.1192535029354875,0.9944917418668842,0.7751578099974856
AOI-0007,AOI-0048,3195,0.0,0.6577220594323725,1.9111644320623713,0.9965065448599209,0.8218017322052527
AOI-0007,AOI-0052,3195,0.0,0.986666021294883,2.928030051578756,0.9896615823557914,0.5936395536485648
AOI-0007,AOI-0053,3195,0.0,0.9038454313291128,2.9749256401002953,0.9913088251978628,0.5985821219103876
AOI-0007,AOI-0060,3195,0.0,1.0524057227454142,3.0040655203472713,0.9882106568267305,0.5790980460728159
AOI-0007,AOI-0063,3195,0.0,1.0328976611865783,3.0213974385878157,0.9889110406194779,0.673467791324278
AOI-0007,AOI-0064,3195,0.0,0.9243860183409572,2.8307962434223337,0.9909449592539228,0.694435388570641
AOI-0007,AOI-0065,3195,0.0,1.0328976611865783,3.0213974385878157,0.9889110406194779,0.673467791324278
AOI-0007,AOI-0069,3195,0.0,1.2424461515528105,2.978742846698255,0.9866055045187936,0.5466599251219478
AOI-0007,AOI-0070,3195,0.0,1.2558544757341639,3.022522897381854,0.9863257468536574,0.5371123973598406
AOI-0007,AOI-0075,3195,0.0,3.1271213182531494,4.042714434436353,0.954868608817484,0.3216889290882754
AOI-0011,AOI-0015,3195,0.0,0.5784874496840947,1.801165300474343,0.9973682690153302,0.8393599608814015
AOI-0011,AOI-0019,3195,0.0,0.3705281279456997,1.1252623832837427,0.9991843379813784,0.9381491121186606
AOI-0011,AOI-0020,3195,0.0,0.3705281279456997,1.1252623832837427,0.9991843379813784,0.9381491121186606
AOI-0011,AOI-0021,3195,0.0,0.3705281279456997,1.1252623832837427,0.9991843379813784,0.9381491121186606
AOI-0011,AOI-0022,3195,0.0,0.3705281279456997,1.1252623832837427,0.9991843379813784,0.9381491121186606
AOI-0011,AOI-0023,3195,0.0,0.23798438649897444,0.7944302521516184,0.9995785156056378,0.9701610131815038
AOI-0011,AOI-0026,3195,0.0,0.7963613128752471,2.61724913074886,0.9939867736596678,0.6695162812544235
AOI-0011,AOI-0030,3195,0.0,0.7531430031766623,2.5074585860279766,0.994541614118897,0.6934714935527819
AOI-0011,AOI-0033,3195,0.0,1.0739406700108443,2.9598475880252058,0.9897739150139921,0.5313456834615093
AOI-0011,AOI-0037,3195,0.0,1.3254894747608956,3.0946506886919103,0.9850506283351599,0.47630302812284314
AOI-0011,AOI-0038,3195,0.0,1.4137410354752953,3.088438397127518,0.9833637091197361,0.47006716104318763
AOI-0011,AOI-0040,3195,0.0,1.3254894747608956,3.0946506886919103,0.9850506283351599,0.47630302812284314
AOI-0011,AOI-0043,3195,0.0,0.7578615619476866,2.0979957834802536,0.9947704843921967,0.7818862066040388
AOI-0011,AOI-0045,3195,0.0,0.7819776160039476,2.1192535029354875,0.9944917418668842,0.7751578099974856
AOI-0011,AOI-0048,3195,0.0,0.6577220594323725,1.9111644320623713,0.9965065448599209,0.8218017322052527
AOI-0011,AOI-0052,3195,0.0,0.986666021294883,2.928030051578756,0.9896615823557914,0.5936395536485648
AOI-0011,AOI-0053,3195,0.0,0.9038454313291128,2.9749256401002953,0.9913088251978628,0.5985821219103876
AOI-0011,AOI-0060,3195,0.0,1.0524057227454142,3.0040655203472713,0.9882106568267305,0.5790980460728159
AOI-0011,AOI-0063,3195,0.0,1.0328976611865783,3.0213974385878157,0.9889110406194779,0.673467791324278
AOI-0011,AOI-0064,3195,0.0,0.9243860183409572,2.8307962434223337,0.9909449592539228,0.694435388570641
AOI-0011,AOI-0065,3195,0.0,1.0328976611865783,3.0213974385878157,0.9889110406194779,0.673467791324278
AOI-0011,AOI-0069,3195,0.0,1.2424461515528105,2.978742846698255,0.9866055045187936,0.5466599251219478
