year,feat,base,w,sse,n,mae,cov
2021,hist_exact,hgb,0.5,1.5065285192706388,130,0.07731822618939344,0.9923076923076923
2021,hist_exact,hgb,0.7,2.2202453294051567,130,0.09181474669172317,0.9923076923076923
2021,hist_exact,hgb,1.0,3.744457264148715,130,0.11648713082025372,0.9923076923076923
2021,hist_exact,hgb_lag,0.0,0.7752358642610617,130,0.056872823530196855,0.9923076923076923
2021,hist_exact,hgb_lag,0.02,0.7762637688897396,130,0.05700415508587071,0.9923076923076923
2021,hist_exact,hgb_lag,0.05,0.7822712044432568,130,0.05730729183024706,0.9923076923076923
2021,hist_exact,hgb_lag,0.1,0.8041918066604534,130,0.05807694731287458,0.9923076923076923
2021,hist_exact,hgb_lag,0.15,0.8409976709126517,130,0.059151250771586686,0.9923076923076923
2021,hist_exact,hgb_lag,0.2,0.8926887971998512,130,0.06089831142224079,0.9923076923076923
2021,hist_exact,hgb_lag,0.3,1.0407268358792545,130,0.0650931553630725,0.9923076923076923
2021,hist_exact,hgb_lag,0.4,1.2483059226986637,130,0.07087699857866567,0.9923076923076923
2021,hist_exact,hgb_lag,0.5,1.5154260576580787,130,0.07730083193131272,0.9923076923076923
2021,hist_exact,hgb_lag,0.7,2.2282894719969257,130,0.09182936875487129,0.9923076923076923
2021,hist_exact,hgb_lag,1.0,3.7441424545552406,130,0.11646251506362182,0.9923076923076923
2021,hist_mean,hgb,0.0,0.7807221728651669,130,0.05719327837556267,0.9923076923076923
2021,hist_mean,hgb,0.02,0.7831153056808787,130,0.05729525962481099,0.9923076923076923
2021,hist_mean,hgb,0.05,0.7906741825010162,130,0.057581723023066654,0.9923076923076923
2021,hist_mean,hgb,0.1,0.8138567841254312,130,0.058541918283131045,0.9923076923076923
2021,hist_mean,hgb,0.15,0.8502699777384114,130,0.059842811673129055,0.9923076923076923
2021,hist_mean,hgb,0.2,0.8999137633399573,130,0.061724805731174254,0.9923076923076923
2021,hist_mean,hgb,0.3,1.0388931105087458,130,0.0660159248623978,0.9923076923076923
2021,hist_mean,hgb,0.4,1.2307948256317964,130,0.07154255822833569,0.9923076923076923
2021,hist_mean,hgb,0.5,1.4756189087091087,130,0.0782368894716511,0.9923076923076923
2021,hist_mean,hgb,0.7,2.1240341787265202,130,0.0928305754723023,0.9923076923076923
2021,hist_mean,hgb,1.0,3.4935748434096032,130,0.11753886628090982,0.9923076923076923
2021,hist_mean,hgb_lag,0.0,0.7752358642610617,130,0.056872823530196855,0.9923076923076923
2021,hist_mean,hgb_lag,0.02,0.7788437517980822,130,0.05704890803514976,0.9923076923076923
2021,hist_mean,hgb_lag,0.05,0.7881397103373438,130,0.05741947854581448,0.9923076923076923
2021,hist_mean,hgb_lag,0.1,0.8139906471927281,130,0.058452586113354334,0.9923076923076923
2021,hist_mean,hgb_lag,0.15,0.8527886748272149,130,0.05970146212353891,0.9923076923076923
2021,hist_mean,hgb_lag,0.2,0.9045337932408034,130,0.0615589547645162,0.9923076923076923
2021,hist_mean,hgb_lag,0.3,1.046865302405288,130,0.06596893899818336,0.9923076923076923
2021,hist_mean,hgb_lag,0.4,1.2409851746861813,130,0.07183902726516703,0.9923076923076923
2021,hist_mean,hgb_lag,0.5,1.4868934100834839,130,0.07841761003777488,0.9923076923076923
2021,hist_mean,hgb_lag,0.7,2.1340749702273145,130,0.0928519194424082,0.9923076923076923
2021,hist_mean,hgb_lag,1.0,3.493260033816129,130,0.11751425052427793,0.9923076923076923
2021,hist_local,hgb,0.0,0.7807221728651669,130,0.05719327837556267,1.0
2021,hist_local,hgb,0.02,0.7822932946239011,130,0.05728043054906232,1.0
2021,hist_local,hgb,0.05,0.7876574565660588,130,0.05754908603642444,1.0
2021,hist_local,hgb,0.1,0.8046176712804707,130,0.05833321100376419,1.0
2021,hist_local,hgb,0.15,0.8316028170084021,130,0.05955189636068026,1.0
2021,hist_local,hgb,0.2,0.8686128937498538,130,0.060965860555032426,1.0
2021,hist_local,hgb,0.3,0.9727078402733171,130,0.0647766783800264,1.0
2021,hist_local,hgb,0.4,1.11690251085086,130,0.06994144132620596,1.0
2021,hist_local,hgb,0.5,1.3011969054824828,130,0.07590681294401236,1.0
2021,hist_local,hgb,0.7,1.7900848669079674,130,0.08920150899906688,1.0
2021,hist_local,hgb,1.0,2.8241647394517937,130,0.11281053007548311,1.0
2021,hist_local,hgb_lag,0.0,0.7752358642610617,130,0.056872823530196855,1.0
2021,hist_local,hgb_lag,0.02,0.7781208311525267,130,0.057051295264498834,1.0
2021,hist_local,hgb_lag,0.05,0.785363608832506,130,0.05746092996370844,1.0
2021,hist_local,hgb_lag,0.1,0.805209111213223,130,0.058425171946951765,1.0
2021,hist_local,hgb_lag,0.15,0.8347723714032131,130,0.059664523265451665,1.0
2021,hist_local,hgb_lag,0.2,0.8740533894024758,130,0.06114508122392212,1.0
2021,hist_local,hgb_lag,0.3,0.9817686988288203,130,0.06491280820031792,1.0
2021,hist_local,hgb_lag,0.4,1.1283550394922561,130,0.07035755459366522,1.0
2021,hist_local,hgb_lag,0.5,1.3138124113927836,130,0.07626771663998122,1.0
