base,peer_config,peer_weight,alpha,beta,exact_rmse,exact_baseline_rmse,exact_delta,exact_wins,exact_folds,exact_coverage,random_rmse,random_baseline_rmse,random_delta,random_wins,random_folds,random_coverage,random2025_rmse,random2025_baseline_rmse,random2025_delta,random2025_wins,random2025_folds,random2025_coverage,worst_delta,mean_delta,all_wins
b_hgb,n16_c80_r125_k3,0.120000000,0.350000000,-0.050000000,0.062562012,0.063405532,-0.000843519,6,6,0.710053860,0.068969499,0.069826420,-0.000856921,3,3,0.568078669,0.062662263,0.063396855,-0.000734592,3,3,0.833774250,-0.000734592,-0.000811677,True
b_hgb,n16_c80_r125_k3,0.100000000,0.350000000,-0.100000000,0.062610781,0.063405532,-0.000794751,6,6,0.710053860,0.068982939,0.069826420,-0.000843480,3,3,0.568078669,0.062662558,0.063396855,-0.000734297,3,3,0.833774250,-0.000734297,-0.000790843,True
b_hgb,n16_c80_r125_k3,0.100000000,0.325000000,-0.150000000,0.062609126,0.063405532,-0.000796405,6,6,0.710053860,0.068960716,0.069826420,-0.000865704,3,3,0.568078669,0.062663455,0.063396855,-0.000733400,3,3,0.833774250,-0.000733400,-0.000798503,True
b_hgb,n16_c80_r125_k3,0.100000000,0.300000000,-0.150000000,0.062606005,0.063405532,-0.000799526,6,6,0.710053860,0.068960436,0.069826420,-0.000865983,3,3,0.568078669,0.062664582,0.063396855,-0.000732273,3,3,0.833774250,-0.000732273,-0.000799261,True
b_hgb,n16_c80_r125_k2,0.120000000,0.250000000,-0.100000000,0.062596286,0.063405532,-0.000809246,6,6,0.710053860,0.068931967,0.069826420,-0.000894453,3,3,0.568078669,0.062664801,0.063396855,-0.000732054,3,3,0.833774250,-0.000732054,-0.000811918,True
b_hgb,n16_c80_r125_k3,0.100000000,0.350000000,-0.150000000,0.062615551,0.063405532,-0.000789980,6,6,0.710053860,0.068964903,0.069826420,-0.000861517,3,3,0.568078669,0.062665475,0.063396855,-0.000731380,3,3,0.833774250,-0.000731380,-0.000794292,True
b_hgb,n16_c80_r125_k3,0.120000000,0.250000000,-0.100000000,0.062550945,0.063405532,-0.000854586,6,6,0.710053860,0.068948313,0.069826420,-0.000878107,3,3,0.568078669,0.062666427,0.063396855,-0.000730428,3,3,0.833774250,-0.000730428,-0.000821041,True
b_hgb,n16_c60_r125_k2,0.120000000,0.250000000,-0.100000000,0.062675316,0.063405532,-0.000730215,6,6,0.899461400,0.068848483,0.069826420,-0.000977936,3,3,0.685577408,0.062600717,0.063396855,-0.000796138,3,3,0.933862434,-0.000730215,-0.000834763,True
b_hgb,n16_c80_r125_k3,0.100000000,0.325000000,-0.050000000,0.062610686,0.063405532,-0.000794846,6,6,0.710053860,0.069004384,0.069826420,-0.000822036,3,3,0.568078669,0.062666710,0.063396855,-0.000730145,3,3,0.833774250,-0.000730145,-0.000782342,True
b_hgb,n16_c80_r125_k2,0.100000000,0.250000000,-0.100000000,0.062641168,0.063405532,-0.000764364,6,6,0.710053860,0.068974020,0.069826420,-0.000852400,3,3,0.568078669,0.062667003,0.063396855,-0.000729851,3,3,0.833774250,-0.000729851,-0.000782205,True
