mode,method,weight,n,rmse_pooled,mae_pooled,bias_pooled
2025,hgb_seed42+base_k6,1.0,1512,0.0618237285342007,0.0407755051718659,-0.0013519288848600848
2025,hgb_seed_mean+base_k6,1.0,1512,0.0618237285342007,0.0407755051718659,-0.0013519288848600848
all,hgb_seed_mean+lag_k16_d3,0.15,2644,0.07312439716387316,0.0432618452768249,-0.0001070790451754985
all,hgb_seed_mean+lag_k16_d3,0.2,2644,0.07312699909109266,0.043329571344909674,4.615035190074721e-06
all,blend_hgb80_lag20,,2644,0.07312699909109267,0.043329571344909674,4.615035190075057e-06
all,hgb_seed_mean+lag_k16_d3,0.1,2644,0.07317005108765294,0.04324938113436316,-0.0002187731255410195
all,hgb_seed_mean+lag_k16_d3,0.25,2644,0.07317785172192583,0.04344548589413112,0.00011630911555559562
all,hgb_seed7,,2644,0.07323246772178303,0.04336730423890984,-0.0002251181987571287
all,hgb_seed_mean+lag_k16_d3,0.05,2644,0.07326387065149036,0.04328446199630596,-0.0003304672059065878
all,hgb_seed_mean+lag_k16_d3,0.3,2644,0.07327685460145207,0.04359997087036108,0.00022800319592111693
all,hgb_seed_mean+base_k6,0.1,2644,0.0733570549512662,0.04336164421784241,-0.00033958593284874426
all,hgb_seed_mean+base_k6,0.05,2644,0.07335773938107756,0.04334169353435175,-0.0003908736095604502
all,hgb_seed_mean+base_k6,0.15,2644,0.07340361920674308,0.043427853519990706,-0.000288298256137085
all,hgb_seed_mean,,2644,0.07340567117454597,0.043364314812595964,-0.0004421612862721133
all,hgb_seed_mean+base_k6,0.0,2644,0.07340567117454597,0.043364314812595964,-0.0004421612862721133
all,hgb_seed_mean+lag_k16_d3,0.0,2644,0.07340567117454597,0.043364314812595964,-0.0004421612862721133
all,hgb_seed42+lag_k16_d3,0.2,2644,0.07340932657762049,0.04346991495115545,-0.00034765563288282627
all,hgb_seed_mean+lag_k16_d3,0.35,2644,0.07342381295606501,0.0437995779934997,0.0003396972762866805
all,hgb_seed42+lag_k16_d3,0.25,2644,0.07343317922598329,0.04356143046117851,-0.00021394463576274883
all,hgb_seed42+lag_k16_d3,0.15,2644,0.0734347759846798,0.043426500407628604,-0.0004813666300029556
all,hgb_seed_mean+base_k6,0.2,2644,0.07349734234432194,0.043543341894014716,-0.00023701057942537363
all,hgb_seed42+lag_k16_d3,0.3,2644,0.07350628593451744,0.04370398265542682,-8.023363864267026e-05
all,hgb_seed42+lag_k16_d3,0.1,2644,0.07350947624120635,0.0434448863091181,-0.0006150776271230327
all,hgb_seed_mean+lag_k16_d3,0.4,2644,0.07361843959777185,0.044039285131455434,0.00045139135665222196
all,hgb_seed42+lag_k16_d3,0.35,2644,0.07362849998835166,0.0439009694513419,5.3477358477449144e-05
all,hgb_seed42+lag_k16_d3,0.05,2644,0.0736332774538039,0.043511563193980474,-0.0007487886242431575
all,hgb_seed_mean+base_k6,0.25,2644,0.07363804429921286,0.04370902616095268,-0.00018572290271371504
all,hgb_seed42+base_k6,0.1,2644,0.07369626545031427,0.0435544364746376,-0.0007358904344307574
all,hgb_seed42+base_k6,0.15,2644,0.07371373818517622,0.04359283612070349,-0.0006625858409645424
all,hgb_seed42+base_k6,0.05,2644,0.0737270169943468,0.04356532522806064,-0.0008091950278970208
all,hgb_seed42+base_k6,0.2,2644,0.07377940093693681,0.043694741829694975,-0.0005892812474982749
all,hgb_seed123,,2644,0.07379911155982512,0.0437127318408702,-0.00021886603869597065
all,hgb_seed42+lag_k16_d3,0.4,2644,0.07379957741869783,0.044147162397132615,0.00018718835559754563
all,hgb_seed42,,2644,0.0738059325387686,0.04362190292329903,-0.00088249962136324
all,hgb_seed42+base_k6,0.0,2644,0.0738059325387686,0.04362190292329903,-0.00088249962136324
all,hgb_seed42+lag_k16_d3,0.0,2644,0.0738059325387686,0.04362190292329903,-0.00088249962136324
all,hgb_seed_mean+base_k6,0.3,2644,0.07382545646490564,0.04391352874633321,-0.00013443522600205593
all,hgb_seed_mean+lag_k16_d3,0.45,2644,0.07386035770081967,0.04432342691213306,0.000563085437017785
all,hgb_seed42+base_k6,0.25,2644,0.07389312523817679,0.04385951791543581,-0.0005159766540320586
all,hgb_seed42+lag_k16_d3,0.45,2644,0.07401917941870241,0.044423345191276206,0.000320899352717665
all,hgb_seed42+base_k6,0.3,2644,0.07405468966775519,0.044072003489340345,-0.000442672060565844
all,hgb_seed_mean+base_k6,0.35,2644,0.07405922423165787,0.044169622192730976,-8.31475492903546e-05
all,hgb_seed_mean+lag_k16_d3,0.5,2644,0.07414910438875152,0.04464856536168347,0.0006747795173833041
all,hgb_seed42+base_k6,0.35,2644,0.07426378199082793,0.04431760344484031,-0.00036936746709958736
all,hgb_seed42+lag_k16_d3,0.5,2644,0.07428687565414063,0.04473373176093926,0.0004546103498377415
all,hgb_seed_mean+base_k6,0.4,2644,0.07433891028823832,0.044472334864032625,-3.18598725786755e-05
