mode,lag_weight,scale,exact_rmse,exact_base,exact_delta,exact_n,random_rmse,random_base,random_delta,random_n,random2025_rmse,random2025_base,random2025_delta,random2025_n,exact_wins,exact_folds,random_wins,random_folds,random2025_wins,random2025_folds,worst_delta,mean_delta
global,0.325000000,-0.625000000,0.061770390,0.061798059,-0.000027669,1114,0.071385804,0.071355396,0.000030408,5664,0.061495541,0.061489887,0.000005654,2268,3,6,1,3,1,3,0.000030408,0.000002798
global,0.325000000,-0.600000000,0.061771355,0.061798059,-0.000026704,1114,0.071384289,0.071355396,0.000028893,5664,0.061494938,0.061489887,0.000005051,2268,3,6,1,3,1,3,0.000028893,0.000002413
global,0.325000000,-0.575000000,0.061772332,0.061798059,-0.000025727,1114,0.071382799,0.071355396,0.000027402,5664,0.061494367,0.061489887,0.000004480,2268,3,6,1,3,1,3,0.000027402,0.000002052
global,0.325000000,-0.550000000,0.061773321,0.061798059,-0.000024738,1114,0.071381333,0.071355396,0.000025937,5664,0.061493827,0.061489887,0.000003939,2268,3,6,1,3,1,3,0.000025937,0.000001713
global,0.325000000,-0.525000000,0.061774321,0.061798059,-0.000023738,1114,0.071379892,0.071355396,0.000024496,5664,0.061493318,0.061489887,0.000003431,2268,3,6,1,3,1,3,0.000024496,0.000001396
global,0.325000000,-0.500000000,0.061775334,0.061798059,-0.000022725,1114,0.071378477,0.071355396,0.000023081,5664,0.061492840,0.061489887,0.000002953,2268,3,6,1,3,1,3,0.000023081,0.000001103
global,0.325000000,-0.475000000,0.061776358,0.061798059,-0.000021701,1114,0.071377086,0.071355396,0.000021690,5664,0.061492394,0.061489887,0.000002507,2268,3,6,1,3,1,3,0.000021690,0.000000832
global,0.325000000,-0.450000000,0.061777394,0.061798059,-0.000020665,1114,0.071375720,0.071355396,0.000020324,5664,0.061491980,0.061489887,0.000002093,2268,3,6,1,3,1,3,0.000020324,0.000000584
global,0.325000000,-0.425000000,0.061778442,0.061798059,-0.000019617,1114,0.071374379,0.071355396,0.000018983,5664,0.061491597,0.061489887,0.000001710,2268,3,6,1,3,1,3,0.000018983,0.000000358
global,0.325000000,-0.400000000,0.061779501,0.061798059,-0.000018558,1114,0.071373063,0.071355396,0.000017667,5664,0.061491245,0.061489887,0.000001358,2268,3,6,1,3,1,3,0.000017667,0.000000156
global,0.325000000,-0.375000000,0.061780573,0.061798059,-0.000017486,1114,0.071371772,0.071355396,0.000016376,5664,0.061490925,0.061489887,0.000001037,2268,3,6,1,3,1,3,0.000016376,-0.000000024
global,0.325000000,-0.350000000,0.061781656,0.061798059,-0.000016403,1114,0.071370506,0.071355396,0.000015110,5664,0.061490636,0.061489887,0.000000748,2268,3,6,1,3,1,3,0.000015110,-0.000000182
