route,features,group,seed,split,model,cap,n,rmse,baseline_rmse,delta_rmse,improved
all,candidate,group_aoi,0,3,ridge100,0.03,830,0.06249739748304525,0.06248292062498674,1.447685805851251e-05,0
all,candidate,group_aoi,0,3,ridge100,0.04,830,0.06249739748304525,0.06248292062498674,1.447685805851251e-05,0
all,candidate,group_aoi,0,3,ridge100,0.06,830,0.06249739748304525,0.06248292062498674,1.447685805851251e-05,0
all,candidate,group_aoi,0,1,hgb8,0.01,632,0.05568079628893783,0.056145518223847606,-0.00046472193490977587,1
all,candidate,group_aoi,0,1,hgb8,0.02,632,0.05569062246940707,0.056145518223847606,-0.00045489575444053465,1
all,candidate,group_aoi,0,1,hgb8,0.03,632,0.055677221998490796,0.056145518223847606,-0.0004682962253568096,1
all,candidate,group_aoi,0,1,hgb8,0.04,632,0.055677221998490796,0.056145518223847606,-0.0004682962253568096,1
all,candidate,group_aoi,0,1,hgb8,0.06,632,0.055677221998490796,0.056145518223847606,-0.0004682962253568096,1
all,candidate,group_aoi,0,2,hgb8,0.01,358,0.06064009712050714,0.06144941043782159,-0.0008093133173144446,1
all,candidate,group_aoi,0,2,hgb8,0.02,358,0.06047596676147193,0.06144941043782159,-0.0009734436763496543,1
all,candidate,group_aoi,0,2,hgb8,0.03,358,0.06046652412723949,0.06144941043782159,-0.000982886310582097,1
all,candidate,group_aoi,0,2,hgb8,0.04,358,0.06046652412723949,0.06144941043782159,-0.000982886310582097,1
all,candidate,group_aoi,0,2,hgb8,0.06,358,0.06046652412723949,0.06144941043782159,-0.000982886310582097,1
all,candidate,group_aoi,0,3,hgb8,0.01,830,0.062240920808428704,0.06248292062498674,-0.00024199981655803615,1
all,candidate,group_aoi,0,3,hgb8,0.02,830,0.062245823216475704,0.06248292062498674,-0.0002370974085110361,1
all,candidate,group_aoi,0,3,hgb8,0.03,830,0.06223436229726431,0.06248292062498674,-0.0002485583277224285,1
all,candidate,group_aoi,0,3,hgb8,0.04,830,0.062234548663065124,0.06248292062498674,-0.000248371961921616,1
all,candidate,group_aoi,0,3,hgb8,0.06,830,0.062234548663065124,0.06248292062498674,-0.000248371961921616,1
all,candidate,group_aoi,1,1,ridge30,0.01,411,0.06184351187331605,0.062043598123565157,-0.00020008625024910826,1
all,candidate,group_aoi,1,1,ridge30,0.02,411,0.06183028698321108,0.062043598123565157,-0.00021331114035407633,1
all,candidate,group_aoi,1,1,ridge30,0.03,411,0.06183028698321108,0.062043598123565157,-0.00021331114035407633,1
all,candidate,group_aoi,1,1,ridge30,0.04,411,0.06183028698321108,0.062043598123565157,-0.00021331114035407633,1
all,candidate,group_aoi,1,1,ridge30,0.06,411,0.06183028698321108,0.062043598123565157,-0.00021331114035407633,1
all,candidate,group_aoi,1,2,ridge30,0.01,267,0.11099051495451083,0.11095451980436578,3.599515014504617e-05,0
all,candidate,group_aoi,1,2,ridge30,0.02,267,0.1109879859786558,0.11095451980436578,3.346617429002274e-05,0
all,candidate,group_aoi,1,2,ridge30,0.03,267,0.1109879859786558,0.11095451980436578,3.346617429002274e-05,0
all,candidate,group_aoi,1,2,ridge30,0.04,267,0.1109879859786558,0.11095451980436578,3.346617429002274e-05,0
all,candidate,group_aoi,1,2,ridge30,0.06,267,0.1109879859786558,0.11095451980436578,3.346617429002274e-05,0
all,candidate,group_aoi,1,3,ridge30,0.01,504,0.05922535705424353,0.05956912744491832,-0.0003437703906747844,1
all,candidate,group_aoi,1,3,ridge30,0.02,504,0.05921619862236576,0.05956912744491832,-0.0003529288225525562,1
all,candidate,group_aoi,1,3,ridge30,0.03,504,0.05921619862236576,0.05956912744491832,-0.0003529288225525562,1
all,candidate,group_aoi,1,3,ridge30,0.04,504,0.05921619862236576,0.05956912744491832,-0.0003529288225525562,1
all,candidate,group_aoi,1,3,ridge30,0.06,504,0.05921619862236576,0.05956912744491832,-0.0003529288225525562,1
all,candidate,group_aoi,1,1,ridge100,0.01,411,0.061816469304517986,0.062043598123565157,-0.00022712881904717042,1
all,candidate,group_aoi,1,1,ridge100,0.02,411,0.061816469304517986,0.062043598123565157,-0.00022712881904717042,1
all,candidate,group_aoi,1,1,ridge100,0.03,411,0.061816469304517986,0.062043598123565157,-0.00022712881904717042,1
all,candidate,group_aoi,1,1,ridge100,0.04,411,0.061816469304517986,0.062043598123565157,-0.00022712881904717042,1
all,candidate,group_aoi,1,1,ridge100,0.06,411,0.061816469304517986,0.062043598123565157,-0.00022712881904717042,1
all,candidate,group_aoi,1,2,ridge100,0.01,267,0.11094192431378247,0.11095451980436578,-1.2595490583314217e-05,1
all,candidate,group_aoi,1,2,ridge100,0.02,267,0.11094192431378247,0.11095451980436578,-1.2595490583314217e-05,1
all,candidate,group_aoi,1,2,ridge100,0.03,267,0.11094192431378247,0.11095451980436578,-1.2595490583314217e-05,1
all,candidate,group_aoi,1,2,ridge100,0.04,267,0.11094192431378247,0.11095451980436578,-1.2595490583314217e-05,1
all,candidate,group_aoi,1,2,ridge100,0.06,267,0.11094192431378247,0.11095451980436578,-1.2595490583314217e-05,1
all,candidate,group_aoi,1,3,ridge100,0.01,504,0.05944511680860495,0.05956912744491832,-0.0001240106363133639,1
all,candidate,group_aoi,1,3,ridge100,0.02,504,0.05944511680860495,0.05956912744491832,-0.0001240106363133639,1
all,candidate,group_aoi,1,3,ridge100,0.03,504,0.05944511680860495,0.05956912744491832,-0.0001240106363133639,1
all,candidate,group_aoi,1,3,ridge100,0.04,504,0.05944511680860495,0.05956912744491832,-0.0001240106363133639,1
all,candidate,group_aoi,1,3,ridge100,0.06,504,0.05944511680860495,0.05956912744491832,-0.0001240106363133639,1
all,candidate,group_aoi,1,1,hgb8,0.01,411,0.06213633639161248,0.062043598123565157,9.273826804732238e-05,0
all,candidate,group_aoi,1,1,hgb8,0.02,411,0.06212871270778463,0.062043598123565157,8.51145842194756e-05,0
all,candidate,group_aoi,1,1,hgb8,0.03,411,0.062076834677180844,0.062043598123565157,3.3236553615687003e-05,0
all,candidate,group_aoi,1,1,hgb8,0.04,411,0.062076834677180844,0.062043598123565157,3.3236553615687003e-05,0
all,candidate,group_aoi,1,1,hgb8,0.06,411,0.062076834677180844,0.062043598123565157,3.3236553615687003e-05,0
all,candidate,group_aoi,1,2,hgb8,0.01,267,0.11095573760319904,0.11095451980436578,1.21779883326123e-06,0
all,candidate,group_aoi,1,2,hgb8,0.02,267,0.11109291513299813,0.11095451980436578,0.00013839532863234305,0
all,candidate,group_aoi,1,2,hgb8,0.03,267,0.11114379787304922,0.11095451980436578,0.000189278068683435,0
all,candidate,group_aoi,1,2,hgb8,0.04,267,0.11114597630390473,0.11095451980436578,0.0001914564995389445,0
all,candidate,group_aoi,1,2,hgb8,0.06,267,0.11114597630390473,0.11095451980436578,0.0001914564995389445,0
all,candidate,group_aoi,1,3,hgb8,0.01,504,0.059390066270351524,0.05956912744491832,-0.00017906117456679277,1
all,candidate,group_aoi,1,3,hgb8,0.02,504,0.059445121440751376,0.05956912744491832,-0.00012400600416694052,1
all,candidate,group_aoi,1,3,hgb8,0.03,504,0.05943048523487732,0.05956912744491832,-0.0001386422100409998,1
all,candidate,group_aoi,1,3,hgb8,0.04,504,0.05943048523487732,0.05956912744491832,-0.0001386422100409998,1
all,candidate,group_aoi,1,3,hgb8,0.06,504,0.05943048523487732,0.05956912744491832,-0.0001386422100409998,1
all,candidate,group_aoi,2,1,ridge30,0.01,542,0.059229900850419404,0.059317013075172995,-8.711222475359104e-05,1
all,candidate,group_aoi,2,1,ridge30,0.02,542,0.05926349290134679,0.059317013075172995,-5.3520173826204775e-05,1
all,candidate,group_aoi,2,1,ridge30,0.03,542,0.05926349290134679,0.059317013075172995,-5.3520173826204775e-05,1
