radius,crop,method,pred,pooled_rmse,min_seed_rmse,max_seed_rmse,mean_delta_vs_global40
32,0,median,blend0.05,0.06894093162717782,0.06523799345863598,0.07219133876313487,
4,1,mean,blend0.08,0.06924110116321815,0.06573587469462584,0.07229545555864951,
8,1,mean,blend0.08,0.06934944616975595,0.06583673088750615,0.07245453197611001,
4,0,mean,blend0.08,0.06935295224633502,0.06570763798101993,0.07242553472180357,
2,1,mean,blend0.08,0.06939646473791387,0.06578330473390152,0.07250542053732652,
8,0,mean,blend0.08,0.0694046418384081,0.06573387016171439,0.07254282002442657,
4,1,median,blend0.08,0.0694170380101753,0.06606842799058776,0.07241715744858179,
16,1,mean,blend0.08,0.06942796339228512,0.0658962805621015,0.07255875523610972,
1,1,median,blend0.08,0.06943143609352109,0.06614596594360414,0.07255317998283307,
1,1,mean,blend0.08,0.06943143609352109,0.06614596594360414,0.07255317998283307,
32,1,mean,blend0.08,0.06945576376201723,0.06592993188137183,0.07265294356138677,
2,1,median,blend0.08,0.06946320570166288,0.06587782845355533,0.07256716495800891,
2,0,mean,blend0.08,0.06948154145357853,0.06573368018831714,0.07264572719955031,
1,0,median,blend0.08,0.06951978451169878,0.06615569166512844,0.07267890267262489,
1,0,mean,blend0.08,0.06951978451169878,0.06615569166512844,0.07267890267262489,
4,0,median,blend0.08,0.06952647736914135,0.06596629197550874,0.07257466385771263,
8,1,median,blend0.08,0.06956197925174122,0.0661248143564686,0.07261157209494164,
2,0,median,blend0.08,0.06956250124992946,0.06584637054855914,0.07271004606169679,
8,0,median,blend0.08,0.06958198439042212,0.06586973844525097,0.0726702606037534,
16,0,mean,blend0.08,0.06959270477381026,0.06593349682599964,0.07273049239590781,
32,1,median,blend0.08,0.06968986580823827,0.06610994559058334,0.07290917871029767,
16,1,median,blend0.08,0.06969000621070802,0.06618067825547241,0.07278454623702794,
32,0,mean,blend0.08,0.06976490582583429,0.06610980565973149,0.07288490865698936,
16,0,median,blend0.08,0.06984127977989237,0.06615983646010329,0.07300650996561596,
4,1,mean,blend0.1,0.06995063621327378,0.06649123064244067,0.07290479631065246,
32,0,median,blend0.08,0.07000947861128724,0.06626703568367727,0.07318958293505347,
8,1,mean,blend0.1,0.07007526715556656,0.06661234248439157,0.07309070094750927,
4,0,mean,blend0.1,0.07010585197864551,0.06646283898277203,0.07310020746111189,
8,0,mean,blend0.1,0.07014287897688151,0.06646944211980331,0.07321630557655959,
16,1,mean,blend0.1,0.07015651270737715,0.06666728556242163,0.0732097211798277,
32,1,mean,blend0.1,0.07017608576718959,0.06669117586967259,0.07331712599842706,
2,1,mean,blend0.1,0.07021096178622536,0.06661665063464921,0.07324012503992246,
4,1,median,blend0.1,0.07022120719658644,0.06696172585858717,0.07309532296727056,
1,1,mean,blend0.1,0.07023962769996804,0.06704532984249008,0.07327788621283782,
1,1,median,blend0.1,0.07023962769996804,0.06704532984249008,0.07327788621283782,
2,1,median,blend0.1,0.07031984957361778,0.06676110023090695,0.07333984772849786,
2,0,mean,blend0.1,0.07032917192216445,0.06656287986321917,0.07343519343959821,
1,0,median,blend0.1,0.07036130409585407,0.06706996742399784,0.07344990676882274,
1,0,mean,blend0.1,0.07036130409585407,0.06706996742399784,0.07344990676882274,
16,0,mean,blend0.1,0.07037166890635926,0.06671828264219312,0.07343817433895937,
4,0,median,blend0.1,0.07037376562523515,0.06684342727329888,0.07332423535736236,
8,1,median,blend0.1,0.07039364247032202,0.06702754337322565,0.07333229998370575,
8,0,median,blend0.1,0.07041946740398428,0.06669549211278948,0.07342743115869312,
2,0,median,blend0.1,0.070458800881043,0.0667340925225242,0.07354095600227577,
32,1,median,blend0.1,0.07052171913810917,0.06697091098705307,0.07368673071852115,
16,1,median,blend0.1,0.07053833700411694,0.0670798977527597,0.07354325039177445,
32,0,mean,blend0.1,0.07058003481391224,0.06693075791811348,0.07362576665991662,
16,0,median,blend0.1,0.07074043932265486,0.06706681875263068,0.07383525544042747,
