rmse,w,ao_rmse_mean,year_rmse_mean,a,b
0.06184452476102675,0.0,0.05134626835748545,0.061727166003633184,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w008_20260905_submission.csv,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a020_submission.csv
0.06184452476102675,0.0,0.05134626835748545,0.061727166003633184,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w008_20260905_submission.csv,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_submission.csv
0.06184452476102675,0.0,0.05134626835748545,0.061727166003633184,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w008_20260905_submission.csv,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_shock015_submission.csv
0.06184452476102675,0.0,0.05134626835748545,0.061727166003633184,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w008_20260905_submission.csv,model_dani_source_expert_route_v2_cohort_year_dist_shock_global15_submission.csv
0.06184452476102675,0.0,0.05134626835748545,0.061727166003633184,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w008_20260905_submission.csv,model_dani_source_expert_route_v2_cohort_year_dist_shock_trainaug_new25_00_submission.csv
0.06184452476102675,0.0,0.05134626835748545,0.061727166003633184,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w008_20260905_submission.csv,model_dani_source_expert_route_v2_cohort_year_dist_shock_trainaug_new25_05_submission.csv
0.06184452476102675,0.0,0.05134626835748545,0.061727166003633184,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w008_20260905_submission.csv,model_dani_source_expert_route_v2_cohort_year_dist_shock_trainaug_global15_submission.csv
0.06184452476102675,0.0,0.05134626835748545,0.061727166003633184,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w008_20260905_submission.csv,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_shock0175_submission.csv
0.06184452476102675,0.0,0.05134626835748545,0.061727166003633184,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w008_20260905_submission.csv,model_dani_source_expert_route_v2_cohort_year_dist_shock_trainaug_global175_submission.csv
0.06184718969263886,0.4068397864287116,0.05129010230603121,0.06169713418923645,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w010_hgb_sqclip_w016_v2_20260905_submission.csv,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a020_submission.csv
0.06185082983604305,0.269665794946261,0.051062955704747726,0.061870166782238695,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w010_hgb_sqclip_w016_20260905_submission.csv,model_dani_source_expert_route_v2_cohort_year_dist_localpeer_r8_a020_submission.csv
