held_seed,feature,alpha,n,coverage,rmse,base_rmse,delta
2,r2_crop_rawmed,0.1446843393,2644,0.9663388805,0.0646767598,0.0651400880,-0.0004633282
2,r2_crop_s2_resmed,0.1801886567,2644,0.4413767020,0.0649860690,0.0651400880,-0.0001540190
2,r2_crop_landsat_resmed,0.1490889007,2644,0.3922087746,0.0647477302,0.0651400880,-0.0003923578
2,r2_crop_modis_resmed,0.0771033338,2644,0.1709531014,0.0651075496,0.0651400880,-0.0000325384
2,r4_all_resmed,0.1861049824,2644,0.9913010590,0.0644919591,0.0651400880,-0.0006481289
2,r4_all_resmean,0.1887894319,2644,0.9913010590,0.0642551406,0.0651400880,-0.0008849474
2,r4_all_rawmed,0.1860237213,2644,0.9913010590,0.0644919405,0.0651400880,-0.0006481475
2,r4_all_s2_resmed,0.1731680412,2644,0.4988653555,0.0647448576,0.0651400880,-0.0003952304
2,r4_all_landsat_resmed,0.1837116756,2644,0.4428895613,0.0646990586,0.0651400880,-0.0004410294
2,r4_all_modis_resmed,0.0888965785,2644,0.1978063540,0.0651529145,0.0651400880,0.0000128265
2,r4_crop_resmed,0.1787439930,2644,0.9886535552,0.0643701921,0.0651400880,-0.0007698959
2,r4_crop_resmean,0.1866429215,2644,0.9886535552,0.0641628864,0.0651400880,-0.0009772016
2,r4_crop_rawmed,0.1786755243,2644,0.9886535552,0.0643570609,0.0651400880,-0.0007830271
2,r4_crop_s2_resmed,0.2075114836,2644,0.4693645991,0.0645363649,0.0651400880,-0.0006037231
2,r4_crop_landsat_resmed,0.1973465291,2644,0.4080937973,0.0647088509,0.0651400880,-0.0004312371
2,r4_crop_modis_resmed,0.1009748465,2644,0.1800302572,0.0651348734,0.0651400880,-0.0000052146
2,r8_all_resmed,0.2172854924,2644,0.9969742814,0.0644998339,0.0651400880,-0.0006402541
2,r8_all_resmean,0.2097390387,2644,0.9969742814,0.0642587817,0.0651400880,-0.0008813063
2,r8_all_rawmed,0.2172854924,2644,0.9969742814,0.0644998339,0.0651400880,-0.0006402541
2,r8_all_s2_resmed,0.2381219726,2644,0.5264750378,0.0647385639,0.0651400880,-0.0004015241
2,r8_all_landsat_resmed,0.1449688406,2644,0.4886535552,0.0648158560,0.0651400880,-0.0003242320
2,r8_all_modis_resmed,0.0996699246,2644,0.2095310136,0.0651084125,0.0651400880,-0.0000316754
2,r8_crop_resmed,0.1876675635,2644,0.9924357035,0.0645483450,0.0651400880,-0.0005917430
2,r8_crop_resmean,0.1972162891,2644,0.9924357035,0.0641829812,0.0651400880,-0.0009571068
2,r8_crop_rawmed,0.1876675635,2644,0.9924357035,0.0645483450,0.0651400880,-0.0005917430
2,r8_crop_s2_resmed,0.2099129673,2644,0.4844931921,0.0647681828,0.0651400880,-0.0003719052
2,r8_crop_landsat_resmed,0.1856251567,2644,0.4167927383,0.0648946655,0.0651400880,-0.0002454225
2,r8_crop_modis_resmed,0.1090141208,2644,0.1864599092,0.0650630743,0.0651400880,-0.0000770137
2,r16_all_resmed,0.1987349774,2644,0.9984871407,0.0645728061,0.0651400880,-0.0005672819
