candidate,seed,group,n,rmse,baseline_rmse,delta_rmse
c80_hist_0.12,1,new2025,379,0.0588318252,0.0581564968,0.0006753284
c80_hist_0.12,70404,new2025,379,0.0999561445,0.0996630005,0.0002931440
c80_hist_0.12,0,shared2025,377,0.0470092968,0.0465642964,0.0004450004
c80_hist_0.12,1,shared2025,377,0.0506177107,0.0507891398,-0.0001714291
c80_hist_0.12,70404,shared2025,377,0.0578341307,0.0582164708,-0.0003823400
c80_hist_0.12_shock10_state05,0,all,2644,0.0714201872,0.0715691565,-0.0001489693
c80_hist_0.12_shock10_state05,1,all,2644,0.0644781558,0.0644982523,-0.0000200965
c80_hist_0.12_shock10_state05,70404,all,2644,0.0695657728,0.0698641263,-0.0002983536
c80_hist_0.12_shock10_state05,0,history,1888,0.0780464457,0.0783223811,-0.0002759354
c80_hist_0.12_shock10_state05,1,history,1888,0.0679392939,0.0680570784,-0.0001177845
c80_hist_0.12_shock10_state05,70404,history,1888,0.0640597903,0.0645352640,-0.0004754737
c80_hist_0.12_shock10_state05,0,2025,756,0.0512586762,0.0509332310,0.0003254451
c80_hist_0.12_shock10_state05,1,2025,756,0.0548895012,0.0546069512,0.0002825500
c80_hist_0.12_shock10_state05,70404,2025,756,0.0817116904,0.0816675643,0.0000441261
c80_hist_0.12_shock10_state05,0,new,2267,0.0747101642,0.0749224715,-0.0002123073
c80_hist_0.12_shock10_state05,1,new,2267,0.0665035800,0.0665045729,-0.0000009929
c80_hist_0.12_shock10_state05,70404,new,2267,0.0713298606,0.0716176482,-0.0002877877
c80_hist_0.12_shock10_state05,0,shared,377,0.0470092968,0.0465642964,0.0004450004
c80_hist_0.12_shock10_state05,1,shared,377,0.0506177107,0.0507891398,-0.0001714291
c80_hist_0.12_shock10_state05,70404,shared,377,0.0578341307,0.0582164708,-0.0003823400
c80_hist_0.12_shock10_state05,0,new2025,379,0.0551618184,0.0549354761,0.0002263422
c80_hist_0.12_shock10_state05,1,new2025,379,0.0588318252,0.0581564968,0.0006753284
c80_hist_0.12_shock10_state05,70404,new2025,379,0.0999561445,0.0996630005,0.0002931440
c80_hist_0.12_shock10_state05,0,shared2025,377,0.0470092968,0.0465642964,0.0004450004
c80_hist_0.12_shock10_state05,1,shared2025,377,0.0506177107,0.0507891398,-0.0001714291
c80_hist_0.12_shock10_state05,70404,shared2025,377,0.0578341307,0.0582164708,-0.0003823400
c80_hist_0.12_shock10_state05,0,source=Landsat,1169,0.0793021073,0.0791212725,0.0001808347
c80_hist_0.12_shock10_state05,1,source=Landsat,1159,0.0545229348,0.0546590113,-0.0001360765
c80_hist_0.12_shock10_state05,0,source=MODIS,589,0.0716675564,0.0726122323,-0.0009446759
c80_hist_0.12_shock10_state05,1,source=MODIS,604,0.0651779969,0.0656005173,-0.0004225204
c80_hist_0.12_shock10_state05,0,source=S2,886,0.0592441975,0.0593349125,-0.0000907150
c80_hist_0.12_shock10_state05,1,source=S2,881,0.0751913075,0.0748604253,0.0003308822
c80_hist_0.12_shock10_state05,70404,source=nan,2644,0.0695657728,0.0698641263,-0.0002983536
c80_hist_0.12_shock10_state05,0,distance_bin=0-7,2468,0.0709313693,0.0711236582,-0.0001922890
c80_hist_0.12_shock10_state05,1,distance_bin=0-7,2447,0.0648597807,0.0648530547,0.0000067260
c80_hist_0.12_shock10_state05,0,distance_bin=17-32,12,0.1078967058,0.1080307797,-0.0001340738
c80_hist_0.12_shock10_state05,1,distance_bin=17-32,6,0.0822451627,0.0822451627,0.0000000000
c80_hist_0.12_shock10_state05,0,distance_bin=8-16,164,0.0752954062,0.0748306566,0.0004647496
c80_hist_0.12_shock10_state05,1,distance_bin=8-16,191,0.0586786516,0.0590782712,-0.0003996196
c80_hist_0.12_shock10_state05,70404,distance_bin=nan,2644,0.0695657728,0.0698641263,-0.0002983536
c80_hist_0.15,0,all,2644,0.0714248521,0.0715691565,-0.0001443044
c80_hist_0.15,1,all,2644,0.0646030980,0.0644982523,0.0001048456
c80_hist_0.15,70404,all,2644,0.0696247584,0.0698641263,-0.0002393680
c80_hist_0.15,0,history,1888,0.0779993528,0.0783223811,-0.0003230283
c80_hist_0.15,1,history,1888,0.0680313777,0.0680570784,-0.0000257008
c80_hist_0.15,70404,history,1888,0.0641024114,0.0645352640,-0.0004328527
