seed,radius,method,pred,n,rmse,coverage
0,8,mean,r_plus_d_-0.2,2644,0.0778786005147065,0.9950832072617246
0,8,mean,r_plus_d_-0.1,2644,0.07245423337494403,0.9950832072617246
0,8,mean,r_plus_d_-0.05,2644,0.0709937484320521,0.9950832072617246
0,8,mean,r_plus_d_-0.03,2644,0.07066337928998281,0.9950832072617246
0,8,mean,r_plus_d_-0.02,2644,0.07055382814409208,0.9950832072617246
0,8,mean,r_plus_d_-0.01,2644,0.07048161605847375,0.9950832072617246
0,8,mean,r_plus_d_0,2644,0.07044685785728165,0.9950832072617246
0,8,mean,r_plus_d_0.01,2644,0.07044960897716822,0.9950832072617246
0,8,mean,r_plus_d_0.02,2644,0.07048986502632612,0.9950832072617246
0,8,mean,r_plus_d_0.03,2644,0.07056756181947454,0.9950832072617246
0,8,mean,r_plus_d_0.05,2644,0.07083472545681592,0.9950832072617246
0,8,mean,r_plus_d_0.08,2644,0.07151132763103017,0.9950832072617246
0,8,mean,r_plus_d_0.1,2644,0.07214227583164272,0.9950832072617246
0,8,mean,r_plus_d_0.15,2644,0.07432098409495835,0.9950832072617246
0,8,mean,r_plus_d_0.2,2644,0.07729722164842137,0.9950832072617246
0,8,mean,b40_d_-0.1,2644,0.07275884209581561,0.9950832072617246
0,8,mean,b40_d_-0.05,2644,0.07131602092508943,0.9950832072617246
0,8,mean,b40_d_-0.03,2644,0.07099028911878442,0.9950832072617246
0,8,mean,b40_d_-0.02,2644,0.07088250252012218,0.9950832072617246
0,8,mean,b40_d_-0.01,2644,0.07081167807101026,0.9950832072617246
0,8,mean,b40_d_0,2644,0.07077792673087005,0.9950832072617246
0,8,mean,b40_d_0.01,2644,0.07078130153352064,0.9950832072617246
0,8,mean,b40_d_0.02,2644,0.0708217971715536,0.9950832072617246
0,8,mean,b40_d_0.03,2644,0.07089935003798646,0.9950832072617246
0,8,mean,b40_d_0.05,2644,0.07116508496672841,0.9950832072617246
0,8,mean,b40_d_0.1,2644,0.07246266665388176,0.9950832072617246
0,8,median,route,2644,0.07044685785728165,0.9950832072617246
0,8,median,direct,2644,0.18563619341183077,0.9950832072617246
0,8,median,r_plus_d_-0.2,2644,0.07862462941151427,0.9950832072617246
0,8,median,r_plus_d_-0.1,2644,0.07263390671491861,0.9950832072617246
0,8,median,r_plus_d_-0.05,2644,0.07102865040234044,0.9950832072617246
0,8,median,r_plus_d_-0.03,2644,0.07067070623597012,0.9950832072617246
0,8,median,r_plus_d_-0.02,2644,0.07055414120154829,0.9950832072617246
0,8,median,r_plus_d_-0.01,2644,0.07047948066432128,0.9950832072617246
0,8,median,r_plus_d_0,2644,0.07044685785728165,0.9950832072617246
0,8,median,r_plus_d_0.01,2644,0.0704563311735918,0.9950832072617246
0,8,median,r_plus_d_0.02,2644,0.07050788364536859,0.9950832072617246
0,8,median,r_plus_d_0.03,2644,0.07060142309530322,0.9950832072617246
0,8,median,r_plus_d_0.05,2644,0.07091372375379779,0.9950832072617246
0,8,median,r_plus_d_0.08,2644,0.07169059126660739,0.9950832072617246
0,8,median,r_plus_d_0.1,2644,0.07240896686167808,0.9950832072617246
0,8,median,r_plus_d_0.15,2644,0.07487099957928299,0.9950832072617246
