seed,method,alpha,n,rmse
2,soft_all_r1_l0.25_p1,0.1000000000,2644,0.0663811061
2,soft_all_r1_l0.25_p1,0.1500000000,2644,0.0662018289
2,soft_all_r1_l0.25_p1,0.2000000000,2644,0.0660444433
2,soft_all_r1_l0.25_p1,0.2500000000,2644,0.0659091063
2,soft_all_r1_l0.25_p1,0.3000000000,2644,0.0657959538
2,soft_all_r1_l0.25_p1,0.3500000000,2644,0.0657051006
2,soft_all_r1_l0.25_p1,0.4000000000,2644,0.0656366391
2,soft_all_r1_l0.25_p1,0.4500000000,2644,0.0655906395
2,soft_all_r1_l0.25_p1,0.5000000000,2644,0.0655671492
2,soft_all_r1_l0.25_p1,0.5500000000,2644,0.0655661922
2,soft_all_r1_l0.25_p1,0.6000000000,2644,0.0655877696
2,soft_all_r1_l0.25_p1,0.6500000000,2644,0.0656318591
2,soft_all_r1_l0.25_p1,0.7000000000,2644,0.0656984155
2,soft_all_r1_l0.25_p1,0.7500000000,2644,0.0657873705
2,soft_all_r1_l0.25_p1,0.8000000000,2644,0.0658986334
2,soft_all_r1_l0.25_p2,0.0000000000,2644,0.0668046092
2,soft_all_r1_l0.25_p2,0.0500000000,2644,0.0665438966
2,soft_all_r1_l0.25_p2,0.1000000000,2644,0.0663087091
2,soft_all_r1_l0.25_p2,0.1500000000,2644,0.0660993192
2,soft_all_r1_l0.25_p2,0.2000000000,2644,0.0659159728
2,soft_all_r1_l0.25_p2,0.2500000000,2644,0.0657588878
2,soft_all_r1_l0.25_p2,0.3000000000,2644,0.0656282526
2,soft_all_r1_l0.25_p2,0.3500000000,2644,0.0655242255
2,soft_all_r1_l0.25_p2,0.4000000000,2644,0.0654469334
2,soft_all_r1_l0.25_p2,0.4500000000,2644,0.0653964711
2,soft_all_r1_l0.25_p2,0.5000000000,2644,0.0653729007
2,soft_all_r1_l0.25_p2,0.5500000000,2644,0.0653762512
2,soft_all_r1_l0.25_p2,0.6000000000,2644,0.0654065186
2,soft_all_r1_l0.25_p2,0.6500000000,2644,0.0654636655
2,soft_all_r1_l0.25_p2,0.7000000000,2644,0.0655476217
2,soft_all_r1_l0.25_p2,0.7500000000,2644,0.0656582842
2,soft_all_r1_l0.25_p2,0.8000000000,2644,0.0657955183
2,soft_all_r1_l0.25_p4,0.0000000000,2644,0.0668046092
2,soft_all_r1_l0.25_p4,0.0500000000,2644,0.0665347723
2,soft_all_r1_l0.25_p4,0.1000000000,2644,0.0662919775
2,soft_all_r1_l0.25_p4,0.1500000000,2644,0.0660765230
2,soft_all_r1_l0.25_p4,0.2000000000,2644,0.0658886770
2,soft_all_r1_l0.25_p4,0.2500000000,2644,0.0657286762
2,soft_all_r1_l0.25_p4,0.3000000000,2644,0.0655967243
2,soft_all_r1_l0.25_p4,0.3500000000,2644,0.0654929909
2,soft_all_r1_l0.25_p4,0.4000000000,2644,0.0654176102
2,soft_all_r1_l0.25_p4,0.4500000000,2644,0.0653706803
2,soft_all_r1_l0.25_p4,0.5000000000,2644,0.0653522625
2,soft_all_r1_l0.25_p4,0.5500000000,2644,0.0653623808
2,soft_all_r1_l0.25_p4,0.6000000000,2644,0.0654010222
2,soft_all_r1_l0.25_p4,0.6500000000,2644,0.0654681360
2,soft_all_r1_l0.25_p4,0.7000000000,2644,0.0655636347
2,soft_all_r1_l0.25_p4,0.7500000000,2644,0.0656873947
2,soft_all_r1_l0.25_p4,0.8000000000,2644,0.0658392565
